Focus Gained 4/10/2012 10:40:31 p.m. 535
MOUSE Move {X=342,Y=228} 4/10/2012 10:40:31 p.m. 620
MOUSE Move {X=347,Y=235} 4/10/2012 10:40:31 p.m. 626
MOUSE Move {X=352,Y=240} 4/10/2012 10:40:31 p.m. 634
MOUSE Move {X=359,Y=245} 4/10/2012 10:40:31 p.m. 646
MOUSE Move {X=363,Y=250} 4/10/2012 10:40:31 p.m. 650
MOUSE Move {X=368,Y=255} 4/10/2012 10:40:31 p.m. 658
MOUSE Move {X=373,Y=259} 4/10/2012 10:40:31 p.m. 666
MOUSE Move {X=380,Y=265} 4/10/2012 10:40:31 p.m. 674
MOUSE Move {X=385,Y=268} 4/10/2012 10:40:31 p.m. 682
MOUSE Move {X=389,Y=273} 4/10/2012 10:40:31 p.m. 690
MOUSE Move {X=392,Y=276} 4/10/2012 10:40:31 p.m. 698
MOUSE Move {X=395,Y=280} 4/10/2012 10:40:31 p.m. 706
MOUSE Move {X=398,Y=283} 4/10/2012 10:40:31 p.m. 714
MOUSE Move {X=401,Y=290} 4/10/2012 10:40:31 p.m. 722
MOUSE Move {X=405,Y=294} 4/10/2012 10:40:31 p.m. 730
MOUSE Move {X=408,Y=301} 4/10/2012 10:40:31 p.m. 738
MOUSE Move {X=411,Y=305} 4/10/2012 10:40:31 p.m. 747
MOUSE Move {X=415,Y=308} 4/10/2012 10:40:31 p.m. 754
MOUSE Move {X=418,Y=311} 4/10/2012 10:40:31 p.m. 762
MOUSE Move {X=421,Y=313} 4/10/2012 10:40:31 p.m. 770
MOUSE Move {X=423,Y=315} 4/10/2012 10:40:31 p.m. 778
MOUSE Move {X=425,Y=315} 4/10/2012 10:40:31 p.m. 787
MOUSE Move {X=426,Y=315} 4/10/2012 10:40:31 p.m. 802
MOUSE Move {X=428,Y=317} 4/10/2012 10:40:31 p.m. 866
MOUSE Move {X=428,Y=319} 4/10/2012 10:40:31 p.m. 874
MOUSE Move {X=429,Y=322} 4/10/2012 10:40:31 p.m. 882
MOUSE Move {X=430,Y=323} 4/10/2012 10:40:31 p.m. 890
MOUSE Move {X=431,Y=324} 4/10/2012 10:40:31 p.m. 898
MOUSE Move {X=434,Y=326} 4/10/2012 10:40:31 p.m. 914
MOUSE Move {X=435,Y=326} 4/10/2012 10:40:31 p.m. 930
MOUSE Move {X=436,Y=326} 4/10/2012 10:40:31 p.m. 970
MOUSE Move {X=437,Y=327} 4/10/2012 10:40:31 p.m. 978
MOUSE Move {X=437,Y=329} 4/10/2012 10:40:31 p.m. 986
MOUSE Move {X=439,Y=332} 4/10/2012 10:40:31 p.m. 994
MOUSE Move {X=439,Y=336} 4/10/2012 10:40:32 p.m. 2
MOUSE Move {X=439,Y=339} 4/10/2012 10:40:32 p.m. 10
MOUSE Move {X=439,Y=342} 4/10/2012 10:40:32 p.m. 18
MOUSE Move {X=439,Y=343} 4/10/2012 10:40:32 p.m. 26
MOUSE Move {X=439,Y=344} 4/10/2012 10:40:32 p.m. 58
MOUSE Move {X=439,Y=346} 4/10/2012 10:40:32 p.m. 74
MOUSE Move {X=439,Y=348} 4/10/2012 10:40:32 p.m. 82
MOUSE Move {X=438,Y=350} 4/10/2012 10:40:32 p.m. 90
MOUSE Move {X=437,Y=353} 4/10/2012 10:40:32 p.m. 98
MOUSE Move {X=436,Y=356} 4/10/2012 10:40:32 p.m. 105
MOUSE Move {X=436,Y=357} 4/10/2012 10:40:32 p.m. 114
MOUSE Move {X=434,Y=359} 4/10/2012 10:40:32 p.m. 121
MOUSE Move {X=433,Y=361} 4/10/2012 10:40:32 p.m. 131
MOUSE Move {X=432,Y=362} 4/10/2012 10:40:32 p.m. 139
MOUSE Move {X=431,Y=362} 4/10/2012 10:40:32 p.m. 220
MOUSE click {X=431,Y=362} 4/10/2012 10:40:32 p.m. 224
MOUSE Move {X=431,Y=362} 4/10/2012 10:40:32 p.m. 227
MOUSE release {X=431,Y=362} 4/10/2012 10:40:32 p.m. 292
MOUSE Move {X=431,Y=362} 4/10/2012 10:40:32 p.m. 294
KEYPRESS DOWN LControlKey 4/10/2012 10:40:32 p.m. 663
ExposeHK Activated 4/10/2012 10:40:32 p.m. 665
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 160
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 192
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 225
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 259
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 291
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 324
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 357
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 390
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 423
KEYPRESS DOWN LControlKey 4/10/2012 10:40:33 p.m. 456
KEYPRESS DOWN N 4/10/2012 10:40:33 p.m. 473
KEYPRESS UP N 4/10/2012 10:40:33 p.m. 617
KEYPRESS DOWN N 4/10/2012 10:40:33 p.m. 747
KEYPRESS UP N 4/10/2012 10:40:33 p.m. 843
KEYPRESS DOWN N 4/10/2012 10:40:33 p.m. 987
KEYPRESS UP N 4/10/2012 10:40:34 p.m. 67
KEYPRESS DOWN N 4/10/2012 10:40:34 p.m. 164
KEYPRESS UP N 4/10/2012 10:40:34 p.m. 244
KEYPRESS DOWN N 4/10/2012 10:40:34 p.m. 340
KEYPRESS UP N 4/10/2012 10:40:34 p.m. 445
KEYPRESS DOWN N 4/10/2012 10:40:34 p.m. 525
KEYPRESS UP N 4/10/2012 10:40:34 p.m. 620
KEYPRESS DOWN N 4/10/2012 10:40:34 p.m. 717
KEYPRESS UP N 4/10/2012 10:40:34 p.m. 797
KEYPRESS DOWN N 4/10/2012 10:40:34 p.m. 860
MOUSE Move {X=427,Y=359} 4/10/2012 10:40:34 p.m. 923
MOUSE Move {X=422,Y=354} 4/10/2012 10:40:34 p.m. 931
MOUSE Move {X=419,Y=349} 4/10/2012 10:40:34 p.m. 939
MOUSE Move {X=416,Y=348} 4/10/2012 10:40:34 p.m. 947
MOUSE Move {X=413,Y=346} 4/10/2012 10:40:34 p.m. 955
MOUSE Move {X=411,Y=345} 4/10/2012 10:40:34 p.m. 963
MOUSE Move {X=408,Y=342} 4/10/2012 10:40:34 p.m. 971
MOUSE Move {X=406,Y=341} 4/10/2012 10:40:34 p.m. 978
KEYPRESS UP N 4/10/2012 10:40:34 p.m. 981
MOUSE Move {X=404,Y=341} 4/10/2012 10:40:34 p.m. 986
KEYPRESS DOWN N 4/10/2012 10:40:35 p.m. 61
MOUSE Move {X=401,Y=341} 4/10/2012 10:40:35 p.m. 83
MOUSE Move {X=399,Y=340} 4/10/2012 10:40:35 p.m. 99
MOUSE Move {X=397,Y=340} 4/10/2012 10:40:35 p.m. 115
MOUSE Move {X=396,Y=338} 4/10/2012 10:40:35 p.m. 131
KEYPRESS UP N 4/10/2012 10:40:35 p.m. 140
KEYPRESS DOWN N 4/10/2012 10:40:35 p.m. 236
KEYPRESS UP N 4/10/2012 10:40:35 p.m. 317
KEYPRESS DOWN N 4/10/2012 10:40:35 p.m. 413
MOUSE Move {X=394,Y=338} 4/10/2012 10:40:35 p.m. 459
MOUSE Move {X=389,Y=338} 4/10/2012 10:40:35 p.m. 467
MOUSE Move {X=386,Y=336} 4/10/2012 10:40:35 p.m. 475
MOUSE Move {X=382,Y=336} 4/10/2012 10:40:35 p.m. 483
MOUSE Move {X=379,Y=334} 4/10/2012 10:40:35 p.m. 489
KEYPRESS UP N 4/10/2012 10:40:35 p.m. 490
MOUSE Move {X=376,Y=333} 4/10/2012 10:40:35 p.m. 497
MOUSE Move {X=372,Y=331} 4/10/2012 10:40:35 p.m. 505
MOUSE Move {X=369,Y=330} 4/10/2012 10:40:35 p.m. 514
MOUSE Move {X=365,Y=328} 4/10/2012 10:40:35 p.m. 529
MOUSE Move {X=362,Y=327} 4/10/2012 10:40:35 p.m. 532
MOUSE Move {X=357,Y=325} 4/10/2012 10:40:35 p.m. 538
MOUSE Move {X=356,Y=325} 4/10/2012 10:40:35 p.m. 546
MOUSE Move {X=355,Y=324} 4/10/2012 10:40:35 p.m. 554
MOUSE Move {X=353,Y=324} 4/10/2012 10:40:35 p.m. 562
KEYPRESS DOWN N 4/10/2012 10:40:35 p.m. 572
MOUSE Move {X=350,Y=323} 4/10/2012 10:40:35 p.m. 578
MOUSE Move {X=347,Y=321} 4/10/2012 10:40:35 p.m. 586
MOUSE Move {X=344,Y=320} 4/10/2012 10:40:35 p.m. 603
MOUSE Move {X=338,Y=317} 4/10/2012 10:40:35 p.m. 619
MOUSE Move {X=335,Y=317} 4/10/2012 10:40:35 p.m. 626
MOUSE Move {X=332,Y=317} 4/10/2012 10:40:35 p.m. 634
MOUSE Move {X=328,Y=315} 4/10/2012 10:40:35 p.m. 642
MOUSE Move {X=325,Y=315} 4/10/2012 10:40:35 p.m. 650
MOUSE Move {X=322,Y=314} 4/10/2012 10:40:35 p.m. 658
MOUSE Move {X=320,Y=314} 4/10/2012 10:40:35 p.m. 666
KEYPRESS UP N 4/10/2012 10:40:35 p.m. 669
MOUSE Move {X=317,Y=314} 4/10/2012 10:40:35 p.m. 674
MOUSE Move {X=314,Y=313} 4/10/2012 10:40:35 p.m. 690
MOUSE Move {X=313,Y=313} 4/10/2012 10:40:35 p.m. 706
KEYPRESS DOWN N 4/10/2012 10:40:35 p.m. 748
KEYPRESS UP N 4/10/2012 10:40:35 p.m. 853
KEYPRESS DOWN N 4/10/2012 10:40:35 p.m. 931
KEYPRESS UP N 4/10/2012 10:40:36 p.m. 29
KEYPRESS DOWN N 4/10/2012 10:40:36 p.m. 108
KEYPRESS UP N 4/10/2012 10:40:36 p.m. 229
ExposeHK Hidden 4/10/2012 10:40:36 p.m. 287
KEYPRESS UP LControlKey 4/10/2012 10:40:36 p.m. 327
MOUSE Move {X=313,Y=307} 4/10/2012 10:40:37 p.m. 545
MOUSE Move {X=313,Y=295} 4/10/2012 10:40:37 p.m. 570
MOUSE Move {X=314,Y=261} 4/10/2012 10:40:37 p.m. 577
MOUSE Move {X=316,Y=245} 4/10/2012 10:40:37 p.m. 584
MOUSE Move {X=320,Y=233} 4/10/2012 10:40:37 p.m. 592
MOUSE Move {X=324,Y=221} 4/10/2012 10:40:37 p.m. 600
MOUSE Move {X=328,Y=209} 4/10/2012 10:40:37 p.m. 609
MOUSE Move {X=332,Y=202} 4/10/2012 10:40:37 p.m. 634
MOUSE Move {X=337,Y=183} 4/10/2012 10:40:37 p.m. 643
MOUSE Move {X=338,Y=180} 4/10/2012 10:40:37 p.m. 658
MOUSE Move {X=338,Y=174} 4/10/2012 10:40:37 p.m. 673
MOUSE Move {X=338,Y=171} 4/10/2012 10:40:37 p.m. 681
MOUSE Move {X=339,Y=169} 4/10/2012 10:40:37 p.m. 683
MOUSE Move {X=339,Y=168} 4/10/2012 10:40:37 p.m. 691
MOUSE Move {X=341,Y=166} 4/10/2012 10:40:37 p.m. 699
MOUSE Move {X=342,Y=163} 4/10/2012 10:40:37 p.m. 708
MOUSE Move {X=345,Y=160} 4/10/2012 10:40:37 p.m. 724
MOUSE Move {X=348,Y=155} 4/10/2012 10:40:37 p.m. 732
MOUSE Move {X=350,Y=151} 4/10/2012 10:40:37 p.m. 740
MOUSE Move {X=353,Y=144} 4/10/2012 10:40:37 p.m. 742
MOUSE Move {X=354,Y=142} 4/10/2012 10:40:37 p.m. 750
MOUSE Move {X=356,Y=137} 4/10/2012 10:40:37 p.m. 758
MOUSE Move {X=357,Y=133} 4/10/2012 10:40:37 p.m. 767
MOUSE Move {X=357,Y=131} 4/10/2012 10:40:37 p.m. 775
MOUSE Move {X=359,Y=129} 4/10/2012 10:40:37 p.m. 794
MOUSE Move {X=362,Y=134} 4/10/2012 10:40:37 p.m. 955
MOUSE Move {X=365,Y=141} 4/10/2012 10:40:37 p.m. 982
MOUSE Move {X=373,Y=162} 4/10/2012 10:40:37 p.m. 985
MOUSE Move {X=379,Y=172} 4/10/2012 10:40:37 p.m. 988
MOUSE Move {X=384,Y=179} 4/10/2012 10:40:38 p.m. 7
MOUSE Move {X=389,Y=186} 4/10/2012 10:40:38 p.m. 8
MOUSE Move {X=392,Y=191} 4/10/2012 10:40:38 p.m. 9
MOUSE Move {X=396,Y=197} 4/10/2012 10:40:38 p.m. 18
MOUSE Move {X=399,Y=202} 4/10/2012 10:40:38 p.m. 32
MOUSE Move {X=402,Y=206} 4/10/2012 10:40:38 p.m. 33
MOUSE Move {X=402,Y=212} 4/10/2012 10:40:38 p.m. 41
MOUSE Move {X=403,Y=215} 4/10/2012 10:40:38 p.m. 50
MOUSE Move {X=405,Y=224} 4/10/2012 10:40:38 p.m. 58
MOUSE Move {X=406,Y=228} 4/10/2012 10:40:38 p.m. 67
MOUSE Move {X=406,Y=234} 4/10/2012 10:40:38 p.m. 75
MOUSE Move {X=408,Y=241} 4/10/2012 10:40:38 p.m. 83
MOUSE Move {X=408,Y=245} 4/10/2012 10:40:38 p.m. 91
MOUSE Move {X=409,Y=249} 4/10/2012 10:40:38 p.m. 110
MOUSE Move {X=409,Y=252} 4/10/2012 10:40:38 p.m. 112
MOUSE Move {X=411,Y=253} 4/10/2012 10:40:38 p.m. 120
MOUSE Move {X=412,Y=253} 4/10/2012 10:40:38 p.m. 128
MOUSE Move {X=413,Y=254} 4/10/2012 10:40:38 p.m. 137
MOUSE Move {X=414,Y=254} 4/10/2012 10:40:38 p.m. 138
MOUSE Move {X=417,Y=254} 4/10/2012 10:40:38 p.m. 147
MOUSE Move {X=418,Y=254} 4/10/2012 10:40:38 p.m. 155
MOUSE Move {X=419,Y=254} 4/10/2012 10:40:38 p.m. 164
MOUSE Move {X=420,Y=254} 4/10/2012 10:40:38 p.m. 172
MOUSE click {X=420,Y=254} 4/10/2012 10:40:38 p.m. 275
MOUSE Move {X=420,Y=254} 4/10/2012 10:40:38 p.m. 278
MOUSE Move {X=420,Y=253} 4/10/2012 10:40:38 p.m. 322
MOUSE Move {X=411,Y=253} 4/10/2012 10:40:38 p.m. 329
Text Selection MOUSE for the  4/10/2012 10:40:38 p.m. 343
MOUSE Move {X=396,Y=249} 4/10/2012 10:40:38 p.m. 346
MOUSE Move {X=379,Y=245} 4/10/2012 10:40:38 p.m. 349
Text Selection MOUSE vie for the  4/10/2012 10:40:38 p.m. 366
