Focus Gained 13/06/2018 14:51:59 743
MOUSE Move {X=484,Y=69} 13/06/2018 14:52:00 596
MOUSE Move {X=483,Y=71} 13/06/2018 14:52:00 600
MOUSE Move {X=476,Y=83} 13/06/2018 14:52:00 608
MOUSE Move {X=467,Y=100} 13/06/2018 14:52:00 619
MOUSE Move {X=454,Y=124} 13/06/2018 14:52:00 622
MOUSE Move {X=439,Y=149} 13/06/2018 14:52:00 630
MOUSE Move {X=421,Y=179} 13/06/2018 14:52:00 649
MOUSE Move {X=403,Y=211} 13/06/2018 14:52:00 665
MOUSE Move {X=357,Y=288} 13/06/2018 14:52:00 666
MOUSE Move {X=330,Y=327} 13/06/2018 14:52:00 685
MOUSE Move {X=300,Y=369} 13/06/2018 14:52:00 688
MOUSE Move {X=270,Y=411} 13/06/2018 14:52:00 688
MOUSE Move {X=240,Y=453} 13/06/2018 14:52:00 715
MOUSE Move {X=182,Y=526} 13/06/2018 14:52:00 716
MOUSE Move {X=157,Y=555} 13/06/2018 14:52:00 718
MOUSE Move {X=135,Y=579} 13/06/2018 14:52:00 726
MOUSE Move {X=117,Y=599} 13/06/2018 14:52:00 734
MOUSE Move {X=101,Y=618} 13/06/2018 14:52:00 743
MOUSE Move {X=89,Y=630} 13/06/2018 14:52:00 751
MOUSE Move {X=79,Y=641} 13/06/2018 14:52:00 766
MOUSE Move {X=70,Y=648} 13/06/2018 14:52:00 767
MOUSE Move {X=60,Y=656} 13/06/2018 14:52:00 775
MOUSE Move {X=51,Y=664} 13/06/2018 14:52:00 783
MOUSE Move {X=43,Y=671} 13/06/2018 14:52:00 791
MOUSE Move {X=37,Y=677} 13/06/2018 14:52:00 799
MOUSE Move {X=32,Y=683} 13/06/2018 14:52:00 808
MOUSE Move {X=27,Y=691} 13/06/2018 14:52:00 816
MOUSE Move {X=23,Y=697} 13/06/2018 14:52:00 824
MOUSE Move {X=20,Y=706} 13/06/2018 14:52:00 833
MOUSE Move {X=18,Y=712} 13/06/2018 14:52:00 839
MOUSE Move {X=17,Y=719} 13/06/2018 14:52:00 847
MOUSE Move {X=15,Y=724} 13/06/2018 14:52:00 855
MOUSE Move {X=15,Y=731} 13/06/2018 14:52:00 863
MOUSE Move {X=14,Y=737} 13/06/2018 14:52:00 871
MOUSE Move {X=14,Y=743} 13/06/2018 14:52:00 879
MOUSE Move {X=14,Y=750} 13/06/2018 14:52:00 887
MOUSE Move {X=16,Y=757} 13/06/2018 14:52:00 896
MOUSE Move {X=19,Y=763} 13/06/2018 14:52:00 906
MOUSE Move {X=23,Y=770} 13/06/2018 14:52:00 912
MOUSE Move {X=29,Y=777} 13/06/2018 14:52:00 920
MOUSE Move {X=36,Y=783} 13/06/2018 14:52:00 927
MOUSE Move {X=42,Y=789} 13/06/2018 14:52:00 950
MOUSE Move {X=47,Y=794} 13/06/2018 14:52:00 951
MOUSE Move {X=53,Y=799} 13/06/2018 14:52:00 951
MOUSE Move {X=58,Y=801} 13/06/2018 14:52:00 959
MOUSE Move {X=64,Y=806} 13/06/2018 14:52:00 967
MOUSE Move {X=70,Y=809} 13/06/2018 14:52:00 977
MOUSE Move {X=75,Y=811} 13/06/2018 14:52:00 983
MOUSE Move {X=81,Y=814} 13/06/2018 14:52:00 992
MOUSE Move {X=84,Y=817} 13/06/2018 14:52:01 0
MOUSE Move {X=89,Y=819} 13/06/2018 14:52:01 8
MOUSE Move {X=92,Y=821} 13/06/2018 14:52:01 16
MOUSE Move {X=95,Y=821} 13/06/2018 14:52:01 23
MOUSE Move {X=99,Y=823} 13/06/2018 14:52:01 31
MOUSE Move {X=102,Y=823} 13/06/2018 14:52:01 39
MOUSE Move {X=104,Y=824} 13/06/2018 14:52:01 47
MOUSE Move {X=106,Y=825} 13/06/2018 14:52:01 55
MOUSE Move {X=108,Y=825} 13/06/2018 14:52:01 63
MOUSE Move {X=112,Y=826} 13/06/2018 14:52:01 71
MOUSE Move {X=114,Y=826} 13/06/2018 14:52:01 79
MOUSE Move {X=117,Y=827} 13/06/2018 14:52:01 87
MOUSE Move {X=120,Y=828} 13/06/2018 14:52:01 95
MOUSE Move {X=122,Y=828} 13/06/2018 14:52:01 103
MOUSE Move {X=127,Y=829} 13/06/2018 14:52:01 111
MOUSE Move {X=131,Y=829} 13/06/2018 14:52:01 119
MOUSE Move {X=134,Y=831} 13/06/2018 14:52:01 127
MOUSE Move {X=139,Y=831} 13/06/2018 14:52:01 136
MOUSE Move {X=143,Y=832} 13/06/2018 14:52:01 144
MOUSE Move {X=147,Y=833} 13/06/2018 14:52:01 153
MOUSE Move {X=151,Y=833} 13/06/2018 14:52:01 159
MOUSE Move {X=154,Y=833} 13/06/2018 14:52:01 167
MOUSE Move {X=156,Y=833} 13/06/2018 14:52:01 177
MOUSE Move {X=158,Y=833} 13/06/2018 14:52:01 183
MOUSE Move {X=159,Y=833} 13/06/2018 14:52:01 192
MOUSE Move {X=160,Y=833} 13/06/2018 14:52:01 199
MOUSE Move {X=160,Y=833} 13/06/2018 14:52:01 207
MOUSE Move {X=160,Y=833} 13/06/2018 14:52:01 242
MOUSE Move {X=160,Y=833} 13/06/2018 14:52:01 248
MOUSE Move {X=160,Y=832} 13/06/2018 14:52:01 255
MOUSE Move {X=158,Y=831} 13/06/2018 14:52:01 263
MOUSE Move {X=157,Y=830} 13/06/2018 14:52:01 275
MOUSE Move {X=154,Y=829} 13/06/2018 14:52:01 279
MOUSE Move {X=152,Y=828} 13/06/2018 14:52:01 287
MOUSE Move {X=149,Y=827} 13/06/2018 14:52:01 295
MOUSE Move {X=146,Y=826} 13/06/2018 14:52:01 303
MOUSE Move {X=144,Y=826} 13/06/2018 14:52:01 311
MOUSE Move {X=141,Y=826} 13/06/2018 14:52:01 319
MOUSE Move {X=139,Y=825} 13/06/2018 14:52:01 327
MOUSE Move {X=137,Y=825} 13/06/2018 14:52:01 335
MOUSE Move {X=135,Y=825} 13/06/2018 14:52:01 343
MOUSE Move {X=134,Y=825} 13/06/2018 14:52:01 351
MOUSE Move {X=133,Y=825} 13/06/2018 14:52:01 359
MOUSE Move {X=133,Y=825} 13/06/2018 14:52:01 371
MOUSE Move {X=132,Y=825} 13/06/2018 14:52:01 375
MOUSE Move {X=131,Y=825} 13/06/2018 14:52:01 383
MOUSE Move {X=131,Y=825} 13/06/2018 14:52:01 391
MOUSE Move {X=130,Y=825} 13/06/2018 14:52:01 398
MOUSE Move {X=130,Y=825} 13/06/2018 14:52:01 407
MOUSE Move {X=129,Y=825} 13/06/2018 14:52:01 415
MOUSE Move {X=129,Y=826} 13/06/2018 14:52:01 423
MOUSE Move {X=127,Y=826} 13/06/2018 14:52:01 431
MOUSE Move {X=127,Y=827} 13/06/2018 14:52:01 439
MOUSE Move {X=126,Y=827} 13/06/2018 14:52:01 447
MOUSE Move {X=125,Y=828} 13/06/2018 14:52:01 455
MOUSE Move {X=124,Y=829} 13/06/2018 14:52:01 463
MOUSE Move {X=124,Y=830} 13/06/2018 14:52:01 471
MOUSE Move {X=124,Y=830} 13/06/2018 14:52:01 479
MOUSE Move {X=123,Y=831} 13/06/2018 14:52:01 487
MOUSE Move {X=122,Y=832} 13/06/2018 14:52:01 495
MOUSE Move {X=122,Y=833} 13/06/2018 14:52:01 503
MOUSE Move {X=122,Y=833} 13/06/2018 14:52:01 511
MOUSE Move {X=121,Y=834} 13/06/2018 14:52:01 519
MOUSE Move {X=121,Y=835} 13/06/2018 14:52:01 527
MOUSE Move {X=121,Y=835} 13/06/2018 14:52:01 543
MOUSE Move {X=121,Y=836} 13/06/2018 14:52:01 559
MOUSE Move {X=121,Y=836} 13/06/2018 14:52:01 568
MOUSE Move {X=121,Y=836} 13/06/2018 14:52:01 575
MOUSE Move {X=120,Y=836} 13/06/2018 14:52:01 607
MOUSE Move {X=120,Y=837} 13/06/2018 14:52:01 615
MOUSE Move {X=120,Y=837} 13/06/2018 14:52:01 754
MOUSE Move {X=120,Y=838} 13/06/2018 14:52:01 760
MOUSE Move {X=120,Y=838} 13/06/2018 14:52:01 767
MOUSE Move {X=120,Y=838} 13/06/2018 14:52:01 776
MOUSE Move {X=121,Y=838} 13/06/2018 14:52:01 783
MOUSE Move {X=121,Y=838} 13/06/2018 14:52:01 791
MOUSE Move {X=122,Y=838} 13/06/2018 14:52:01 799
MOUSE Move {X=123,Y=839} 13/06/2018 14:52:01 807
MOUSE Move {X=123,Y=839} 13/06/2018 14:52:01 815
MOUSE Move {X=124,Y=839} 13/06/2018 14:52:01 823
MOUSE Move {X=126,Y=839} 13/06/2018 14:52:01 831
MOUSE Move {X=126,Y=839} 13/06/2018 14:52:01 839
MOUSE Move {X=128,Y=839} 13/06/2018 14:52:01 847
MOUSE Move {X=129,Y=839} 13/06/2018 14:52:01 855
MOUSE Move {X=130,Y=840} 13/06/2018 14:52:01 863
MOUSE Move {X=132,Y=840} 13/06/2018 14:52:01 871
MOUSE Move {X=133,Y=840} 13/06/2018 14:52:01 879
MOUSE Move {X=134,Y=840} 13/06/2018 14:52:01 889
MOUSE Move {X=136,Y=840} 13/06/2018 14:52:01 896
MOUSE Move {X=138,Y=841} 13/06/2018 14:52:01 905
MOUSE Move {X=139,Y=841} 13/06/2018 14:52:01 911
MOUSE Move {X=140,Y=841} 13/06/2018 14:52:01 919
MOUSE Move {X=142,Y=842} 13/06/2018 14:52:01 927
