Focus Gained 09/06/2018 15:22:22 344
MOUSE Move {X=488,Y=69} 09/06/2018 15:22:22 953
MOUSE Move {X=485,Y=67} 09/06/2018 15:22:23 0
MOUSE Move {X=477,Y=60} 09/06/2018 15:22:23 24
MOUSE Move {X=474,Y=58} 09/06/2018 15:22:23 75
MOUSE Move {X=473,Y=57} 09/06/2018 15:22:23 122
MOUSE Move {X=472,Y=58} 09/06/2018 15:22:23 169
MOUSE Move {X=471,Y=60} 09/06/2018 15:22:23 231
MOUSE Move {X=470,Y=60} 09/06/2018 15:22:23 263
MOUSE Move {X=470,Y=57} 09/06/2018 15:22:23 263
MOUSE Move {X=470,Y=52} 09/06/2018 15:22:23 310
MOUSE Move {X=470,Y=49} 09/06/2018 15:22:23 348
MOUSE Move {X=470,Y=48} 09/06/2018 15:22:23 392
MOUSE Move {X=470,Y=48} 09/06/2018 15:22:23 454
MOUSE Move {X=470,Y=48} 09/06/2018 15:22:23 485
MOUSE click {X=470,Y=48} 09/06/2018 15:22:23 660
MOUSE Move {X=470,Y=48} 09/06/2018 15:22:23 668
MOUSE Move {X=489,Y=42} 09/06/2018 15:22:23 722
MOUSE Move {X=526,Y=33} 09/06/2018 15:22:23 738
MOUSE Move {X=595,Y=23} 09/06/2018 15:22:23 757
MOUSE Move {X=644,Y=23} 09/06/2018 15:22:23 775
MOUSE Move {X=669,Y=23} 09/06/2018 15:22:23 786
MOUSE Move {X=686,Y=25} 09/06/2018 15:22:23 797
MOUSE Move {X=707,Y=27} 09/06/2018 15:22:23 808
MOUSE Move {X=719,Y=28} 09/06/2018 15:22:23 816
MOUSE Move {X=724,Y=29} 09/06/2018 15:22:23 838
MOUSE Move {X=725,Y=29} 09/06/2018 15:22:23 958
MOUSE Move {X=725,Y=29} 09/06/2018 15:22:23 964
MOUSE Move {X=726,Y=29} 09/06/2018 15:22:23 975
MOUSE Move {X=727,Y=29} 09/06/2018 15:22:23 985
MOUSE Move {X=727,Y=28} 09/06/2018 15:22:24 145
MOUSE release {X=727,Y=28} 09/06/2018 15:22:24 165
MOUSE Move {X=727,Y=28} 09/06/2018 15:22:24 178
MOUSE Move {X=727,Y=28} 09/06/2018 15:22:24 465
MOUSE Move {X=727,Y=30} 09/06/2018 15:22:24 478
MOUSE Move {X=726,Y=34} 09/06/2018 15:22:24 488
MOUSE Move {X=724,Y=44} 09/06/2018 15:22:24 498
MOUSE Move {X=721,Y=57} 09/06/2018 15:22:24 515
MOUSE Move {X=719,Y=74} 09/06/2018 15:22:24 528
MOUSE Move {X=716,Y=102} 09/06/2018 15:22:24 535
MOUSE Move {X=714,Y=130} 09/06/2018 15:22:24 555
MOUSE Move {X=713,Y=158} 09/06/2018 15:22:24 568
MOUSE Move {X=713,Y=183} 09/06/2018 15:22:24 575
MOUSE Move {X=713,Y=205} 09/06/2018 15:22:24 594
MOUSE Move {X=713,Y=222} 09/06/2018 15:22:24 606
MOUSE Move {X=714,Y=233} 09/06/2018 15:22:24 615
MOUSE Move {X=714,Y=241} 09/06/2018 15:22:24 625
MOUSE Move {X=715,Y=247} 09/06/2018 15:22:24 645
MOUSE Move {X=715,Y=253} 09/06/2018 15:22:24 657
MOUSE Move {X=715,Y=260} 09/06/2018 15:22:24 671
MOUSE Move {X=715,Y=266} 09/06/2018 15:22:24 683
MOUSE Move {X=714,Y=271} 09/06/2018 15:22:24 696
MOUSE Move {X=713,Y=272} 09/06/2018 15:22:24 710
KEYPRESS DOWN LControlKey 09/06/2018 15:22:25 316
ExposeHK Activated 09/06/2018 15:22:25 316
ExposeHK Hidden 09/06/2018 15:22:25 445
KEYPRESS UP LControlKey 09/06/2018 15:22:25 465
KEYPRESS DOWN LMenu 09/06/2018 15:22:28 505
KEYPRESS DOWN F4 09/06/2018 15:22:28 588
Focus Lost 09/06/2018 15:22:28 658
