Focus Gained 12/09/2012 7:27:31 p.m. 271
MOUSE click {X=453,Y=156} 12/09/2012 7:27:32 p.m. 467
MOUSE release {X=357,Y=152} 12/09/2012 7:27:32 p.m. 737
MOUSE click {X=873,Y=103} 12/09/2012 7:27:33 p.m. 499
MOUSE release {X=873,Y=103} 12/09/2012 7:27:33 p.m. 579
MOUSE click {X=873,Y=103} 12/09/2012 7:27:33 p.m. 667
MOUSE release {X=873,Y=103} 12/09/2012 7:27:33 p.m. 752
MOUSE click {X=873,Y=103} 12/09/2012 7:27:33 p.m. 835
MOUSE release {X=873,Y=103} 12/09/2012 7:27:33 p.m. 906
MOUSE click {X=749,Y=24} 12/09/2012 7:27:34 p.m. 283
MOUSE release {X=416,Y=13} 12/09/2012 7:27:34 p.m. 923
MOUSE click {X=549,Y=99} 12/09/2012 7:27:35 p.m. 379
MOUSE release {X=549,Y=99} 12/09/2012 7:27:35 p.m. 475
MOUSE click {X=549,Y=99} 12/09/2012 7:27:35 p.m. 634
MOUSE release {X=549,Y=99} 12/09/2012 7:27:35 p.m. 738
MOUSE click {X=549,Y=99} 12/09/2012 7:27:35 p.m. 962
MOUSE release {X=549,Y=99} 12/09/2012 7:27:36 p.m. 59
MOUSE click {X=549,Y=99} 12/09/2012 7:27:36 p.m. 179
MOUSE release {X=549,Y=99} 12/09/2012 7:27:36 p.m. 291
MOUSE click {X=549,Y=99} 12/09/2012 7:27:36 p.m. 475
MOUSE release {X=549,Y=99} 12/09/2012 7:27:36 p.m. 586
MOUSE click {X=549,Y=99} 12/09/2012 7:27:36 p.m. 697
MOUSE release {X=549,Y=99} 12/09/2012 7:27:36 p.m. 817
MOUSE click {X=549,Y=99} 12/09/2012 7:27:36 p.m. 915
MOUSE release {X=549,Y=99} 12/09/2012 7:27:37 p.m. 19
MOUSE click {X=549,Y=99} 12/09/2012 7:27:37 p.m. 123
MOUSE release {X=549,Y=99} 12/09/2012 7:27:37 p.m. 235
MOUSE click {X=549,Y=99} 12/09/2012 7:27:37 p.m. 355
MOUSE release {X=549,Y=99} 12/09/2012 7:27:37 p.m. 475
MOUSE click {X=549,Y=99} 12/09/2012 7:27:37 p.m. 683
MOUSE release {X=549,Y=99} 12/09/2012 7:27:37 p.m. 787
MOUSE click {X=549,Y=99} 12/09/2012 7:27:38 p.m. 114
MOUSE release {X=549,Y=99} 12/09/2012 7:27:38 p.m. 226
MOUSE click {X=549,Y=99} 12/09/2012 7:27:39 p.m. 160
MOUSE release {X=549,Y=99} 12/09/2012 7:27:39 p.m. 264
MOUSE click {X=549,Y=99} 12/09/2012 7:27:39 p.m. 755
MOUSE release {X=549,Y=99} 12/09/2012 7:27:39 p.m. 850
MOUSE click {X=549,Y=99} 12/09/2012 7:27:40 p.m. 19
MOUSE release {X=549,Y=99} 12/09/2012 7:27:40 p.m. 131
MOUSE click {X=549,Y=99} 12/09/2012 7:27:40 p.m. 288
MOUSE release {X=549,Y=99} 12/09/2012 7:27:40 p.m. 379
MOUSE click {X=524,Y=95} 12/09/2012 7:27:41 p.m. 146
MOUSE release {X=524,Y=95} 12/09/2012 7:27:41 p.m. 229
MOUSE click {X=524,Y=95} 12/09/2012 7:27:41 p.m. 497
MOUSE release {X=524,Y=95} 12/09/2012 7:27:41 p.m. 586
MOUSE click {X=524,Y=95} 12/09/2012 7:27:41 p.m. 770
MOUSE release {X=524,Y=95} 12/09/2012 7:27:41 p.m. 858
MOUSE click {X=524,Y=95} 12/09/2012 7:27:42 p.m. 10
MOUSE release {X=524,Y=95} 12/09/2012 7:27:42 p.m. 98
MOUSE click {X=524,Y=95} 12/09/2012 7:27:42 p.m. 314
MOUSE release {X=524,Y=95} 12/09/2012 7:27:42 p.m. 394
MOUSE click {X=524,Y=95} 12/09/2012 7:27:42 p.m. 531
MOUSE release {X=524,Y=95} 12/09/2012 7:27:42 p.m. 610
MOUSE click {X=524,Y=95} 12/09/2012 7:27:42 p.m. 770
MOUSE release {X=524,Y=95} 12/09/2012 7:27:42 p.m. 857
MOUSE click {X=524,Y=95} 12/09/2012 7:27:43 p.m. 2
MOUSE release {X=524,Y=95} 12/09/2012 7:27:43 p.m. 90
MOUSE click {X=524,Y=95} 12/09/2012 7:27:43 p.m. 258
MOUSE release {X=524,Y=95} 12/09/2012 7:27:43 p.m. 338
