Focus Gained 12/06/2018 22:32:45 656
KEYPRESS DOWN LControlKey 12/06/2018 22:32:51 317
Focus Lost 12/06/2018 22:32:51 325
ExposeHK Activated 12/06/2018 22:32:51 362
KEYPRESS DOWN LControlKey 12/06/2018 22:32:51 865
KEYPRESS DOWN LControlKey 12/06/2018 22:32:51 904
KEYPRESS DOWN LControlKey 12/06/2018 22:32:51 941
KEYPRESS DOWN LControlKey 12/06/2018 22:32:51 978
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 16
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 61
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 93
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 129
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 166
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 203
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 241
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 279
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 317
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 354
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 392
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 430
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 592
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 603
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 956
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 964
KEYPRESS DOWN LControlKey 12/06/2018 22:32:52 974
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 73
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 80
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 89
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 96
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 104
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 171
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 179
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 187
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 196
Focus Gained 12/06/2018 22:32:53 230
ExposeHK Hidden 12/06/2018 22:32:53 238
KEYPRESS UP LControlKey 12/06/2018 22:32:53 258
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 263
Focus Lost 12/06/2018 22:32:53 271
ExposeHK Activated 12/06/2018 22:32:53 284
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 728
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 765
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 803
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 841
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 878
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 916
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 954
KEYPRESS DOWN LControlKey 12/06/2018 22:32:53 991
KEYPRESS DOWN LControlKey 12/06/2018 22:32:54 28
KEYPRESS DOWN LControlKey 12/06/2018 22:32:54 67
KEYPRESS DOWN LControlKey 12/06/2018 22:32:54 104
KEYPRESS DOWN LControlKey 12/06/2018 22:32:54 141
KEYPRESS DOWN LControlKey 12/06/2018 22:32:54 179
KEYPRESS DOWN LControlKey 12/06/2018 22:32:54 216
KEYPRESS DOWN LShiftKey 12/06/2018 22:32:54 227
KEYPRESS UP LShiftKey 12/06/2018 22:32:54 760
KEYPRESS DOWN LShiftKey 12/06/2018 22:32:55 47
KEYPRESS UP LShiftKey 12/06/2018 22:32:55 530
KEYPRESS DOWN LShiftKey 12/06/2018 22:32:55 739
KEYPRESS UP LShiftKey 12/06/2018 22:32:55 852
KEYPRESS DOWN LShiftKey 12/06/2018 22:32:55 943
KEYPRESS UP LShiftKey 12/06/2018 22:32:56 35
KEYPRESS DOWN LShiftKey 12/06/2018 22:32:56 120
Focus Gained 12/06/2018 22:32:56 240
ExposeHK Hidden 12/06/2018 22:32:56 248
KEYPRESS UP LControlKey 12/06/2018 22:32:56 270
KEYPRESS UP LShiftKey 12/06/2018 22:32:56 276
MOUSE Move {X=481,Y=62} 12/06/2018 22:32:56 991
MOUSE Move {X=498,Y=60} 12/06/2018 22:32:57 2
MOUSE Move {X=532,Y=53} 12/06/2018 22:32:57 15
MOUSE Move {X=588,Y=43} 12/06/2018 22:32:57 28
MOUSE Move {X=662,Y=32} 12/06/2018 22:32:57 41
MOUSE Move {X=755,Y=23} 12/06/2018 22:32:57 54
MOUSE Move {X=852,Y=23} 12/06/2018 22:32:57 68
MOUSE Move {X=947,Y=27} 12/06/2018 22:32:57 80
MOUSE Move {X=1037,Y=36} 12/06/2018 22:32:57 92
MOUSE Move {X=1117,Y=49} 12/06/2018 22:32:57 107
MOUSE Move {X=1173,Y=63} 12/06/2018 22:32:57 119
MOUSE Move {X=1203,Y=71} 12/06/2018 22:32:57 131
MOUSE Move {X=1217,Y=76} 12/06/2018 22:32:57 146
MOUSE Move {X=1227,Y=80} 12/06/2018 22:32:57 158
MOUSE Move {X=1234,Y=84} 12/06/2018 22:32:57 170
MOUSE Move {X=1239,Y=89} 12/06/2018 22:32:57 183
MOUSE Move {X=1243,Y=93} 12/06/2018 22:32:57 196
MOUSE Move {X=1247,Y=96} 12/06/2018 22:32:57 208
MOUSE Move {X=1250,Y=99} 12/06/2018 22:32:57 222
MOUSE Move {X=1255,Y=102} 12/06/2018 22:32:57 235
MOUSE Move {X=1261,Y=104} 12/06/2018 22:32:57 247
MOUSE Move {X=1269,Y=106} 12/06/2018 22:32:57 260
MOUSE Move {X=1277,Y=108} 12/06/2018 22:32:57 274
MOUSE Move {X=1288,Y=110} 12/06/2018 22:32:57 286
MOUSE Move {X=1300,Y=112} 12/06/2018 22:32:57 299
MOUSE Move {X=1313,Y=114} 12/06/2018 22:32:57 312
MOUSE Move {X=1330,Y=116} 12/06/2018 22:32:57 324
MOUSE Move {X=1357,Y=116} 12/06/2018 22:32:57 337
MOUSE Move {X=1395,Y=116} 12/06/2018 22:32:57 351
MOUSE Move {X=1409,Y=113} 12/06/2018 22:32:57 363
MOUSE Move {X=1407,Y=109} 12/06/2018 22:32:57 377
MOUSE Move {X=1391,Y=106} 12/06/2018 22:32:57 390
MOUSE Move {X=1377,Y=104} 12/06/2018 22:32:57 401
MOUSE Move {X=1369,Y=103} 12/06/2018 22:32:57 415
MOUSE Move {X=1367,Y=102} 12/06/2018 22:32:57 428
MOUSE Move {X=1365,Y=101} 12/06/2018 22:32:57 440
MOUSE Move {X=1359,Y=97} 12/06/2018 22:32:57 453
MOUSE Move {X=1351,Y=91} 12/06/2018 22:32:57 467
MOUSE Move {X=1340,Y=87} 12/06/2018 22:32:57 479
MOUSE Move {X=1322,Y=82} 12/06/2018 22:32:57 492
MOUSE Move {X=1304,Y=78} 12/06/2018 22:32:57 506
MOUSE Move {X=1288,Y=75} 12/06/2018 22:32:57 518
MOUSE Move {X=1279,Y=74} 12/06/2018 22:32:57 532
MOUSE Move {X=1271,Y=74} 12/06/2018 22:32:57 545
MOUSE Move {X=1265,Y=73} 12/06/2018 22:32:57 556
MOUSE Move {X=1263,Y=73} 12/06/2018 22:32:57 570
MOUSE Move {X=1262,Y=73} 12/06/2018 22:32:57 583
MOUSE Move {X=1260,Y=73} 12/06/2018 22:32:57 595
MOUSE Move {X=1258,Y=73} 12/06/2018 22:32:57 608
MOUSE Move {X=1258,Y=73} 12/06/2018 22:32:57 621
MOUSE Move {X=1257,Y=73} 12/06/2018 22:32:57 633
MOUSE Move {X=1257,Y=73} 12/06/2018 22:32:57 646
MOUSE Move {X=1257,Y=73} 12/06/2018 22:32:57 660
MOUSE Move {X=1256,Y=72} 12/06/2018 22:32:57 672
MOUSE Move {X=1256,Y=72} 12/06/2018 22:32:57 698
MOUSE Move {X=1256,Y=70} 12/06/2018 22:32:57 710
MOUSE Move {X=1257,Y=68} 12/06/2018 22:32:57 723
MOUSE Move {X=1257,Y=65} 12/06/2018 22:32:57 737
MOUSE Move {X=1259,Y=63} 12/06/2018 22:32:57 772
MOUSE Move {X=1262,Y=58} 12/06/2018 22:32:57 783
MOUSE Move {X=1265,Y=54} 12/06/2018 22:32:57 794
MOUSE Move {X=1265,Y=54} 12/06/2018 22:32:57 805
MOUSE Move {X=1266,Y=53} 12/06/2018 22:32:57 815
MOUSE Move {X=1266,Y=53} 12/06/2018 22:32:57 826
MOUSE Move {X=1267,Y=53} 12/06/2018 22:32:57 840
MOUSE Move {X=1267,Y=53} 12/06/2018 22:32:57 853
MOUSE Move {X=1270,Y=53} 12/06/2018 22:32:57 866
MOUSE Move {X=1274,Y=53} 12/06/2018 22:32:57 881
MOUSE Move {X=1278,Y=53} 12/06/2018 22:32:57 894
MOUSE Move {X=1280,Y=53} 12/06/2018 22:32:57 907
MOUSE Move {X=1282,Y=53} 12/06/2018 22:32:57 921
MOUSE Move {X=1282,Y=53} 12/06/2018 22:32:57 934
MOUSE Move {X=1283,Y=53} 12/06/2018 22:32:57 946
MOUSE Move {X=1283,Y=53} 12/06/2018 22:32:57 956
MOUSE Move {X=1284,Y=54} 12/06/2018 22:32:57 983
MOUSE Move {X=1284,Y=54} 12/06/2018 22:32:57 994
MOUSE Move {X=1284,Y=55} 12/06/2018 22:32:58 7
MOUSE Move {X=1284,Y=55} 12/06/2018 22:32:58 21
MOUSE Move {X=1285,Y=55} 12/06/2018 22:32:58 71
MOUSE Move {X=1286,Y=55} 12/06/2018 22:32:58 84
MOUSE Move {X=1286,Y=55} 12/06/2018 22:32:58 97
MOUSE Move {X=1288,Y=54} 12/06/2018 22:32:58 110
MOUSE click {X=1288,Y=54} 12/06/2018 22:32:58 327
