Timestamp;Participant;Aid;Phase;BlockID;Event
04/07/2018 17:05:54 95;Leon;ExposeHK;1;1;MOUSE Move {X=416,Y=304}
04/07/2018 17:05:54 103;Leon;ExposeHK;1;1;MOUSE Move {X=416,Y=300}
04/07/2018 17:05:54 111;Leon;ExposeHK;1;1;MOUSE Move {X=416,Y=296}
04/07/2018 17:05:54 119;Leon;ExposeHK;1;1;MOUSE Move {X=415,Y=292}
04/07/2018 17:05:54 127;Leon;ExposeHK;1;1;MOUSE Move {X=415,Y=290}
04/07/2018 17:05:54 135;Leon;ExposeHK;1;1;MOUSE Move {X=414,Y=289}
04/07/2018 17:05:54 143;Leon;ExposeHK;1;1;MOUSE Move {X=414,Y=288}
04/07/2018 17:05:54 151;Leon;ExposeHK;1;1;MOUSE Move {X=414,Y=288}
04/07/2018 17:05:54 367;Leon;ExposeHK;1;1;MOUSE Move {X=414,Y=288}
04/07/2018 17:05:54 375;Leon;ExposeHK;1;1;MOUSE Move {X=414,Y=288}
04/07/2018 17:05:54 383;Leon;ExposeHK;1;1;MOUSE Move {X=416,Y=288}
04/07/2018 17:05:54 391;Leon;ExposeHK;1;1;MOUSE Move {X=419,Y=289}
04/07/2018 17:05:54 399;Leon;ExposeHK;1;1;MOUSE Move {X=421,Y=290}
04/07/2018 17:05:54 407;Leon;ExposeHK;1;1;MOUSE Move {X=421,Y=291}
04/07/2018 17:05:54 415;Leon;ExposeHK;1;1;MOUSE Move {X=422,Y=291}
04/07/2018 17:05:54 423;Leon;ExposeHK;1;1;MOUSE Move {X=422,Y=291}
04/07/2018 17:05:54 431;Leon;ExposeHK;1;1;MOUSE Move {X=423,Y=291}
04/07/2018 17:05:54 479;Leon;ExposeHK;1;1;MOUSE Move {X=423,Y=292}
04/07/2018 17:05:54 600;Leon;ExposeHK;1;1;MOUSE click {X=423,Y=292}
04/07/2018 17:05:54 601;Leon;ExposeHK;1;1;MOUSE Move {X=423,Y=292}
04/07/2018 17:05:54 631;Leon;ExposeHK;1;1;MOUSE Move {X=423,Y=292}
04/07/2018 17:05:54 639;Leon;ExposeHK;1;1;MOUSE Move {X=422,Y=292}
04/07/2018 17:05:54 647;Leon;ExposeHK;1;1;MOUSE Move {X=422,Y=292}
04/07/2018 17:05:54 655;Leon;ExposeHK;1;1;MOUSE Move {X=418,Y=293}
04/07/2018 17:05:54 671;Leon;ExposeHK;1;1;Text Selection MOUSE 

04/07/2018 17:05:54 672;Leon;ExposeHK;1;1;MOUSE Move {X=413,Y=293}
04/07/2018 17:05:54 673;Leon;ExposeHK;1;1;MOUSE Move {X=407,Y=293}
04/07/2018 17:05:54 679;Leon;ExposeHK;1;1;MOUSE Move {X=401,Y=293}
04/07/2018 17:05:54 690;Leon;ExposeHK;1;1;Text Selection MOUSE shifts
04/07/2018 17:05:54 690;Leon;ExposeHK;1;1;MOUSE Move {X=395,Y=293}
04/07/2018 17:05:54 695;Leon;ExposeHK;1;1;MOUSE Move {X=389,Y=293}
04/07/2018 17:05:54 703;Leon;ExposeHK;1;1;Text Selection MOUSE focus shifts
04/07/2018 17:05:54 703;Leon;ExposeHK;1;1;MOUSE Move {X=381,Y=294}
04/07/2018 17:05:54 711;Leon;ExposeHK;1;1;MOUSE Move {X=374,Y=294}
04/07/2018 17:05:54 719;Leon;ExposeHK;1;1;MOUSE Move {X=367,Y=294}
04/07/2018 17:05:54 727;Leon;ExposeHK;1;1;MOUSE Move {X=360,Y=294}
04/07/2018 17:05:54 741;Leon;ExposeHK;1;1;Text Selection MOUSE as focus shifts
04/07/2018 17:05:54 741;Leon;ExposeHK;1;1;MOUSE Move {X=350,Y=294}
04/07/2018 17:05:54 743;Leon;ExposeHK;1;1;MOUSE Move {X=344,Y=294}
04/07/2018 17:05:54 751;Leon;ExposeHK;1;1;Text Selection MOUSE builds as focus shifts
04/07/2018 17:05:54 751;Leon;ExposeHK;1;1;MOUSE Move {X=337,Y=294}
04/07/2018 17:05:54 759;Leon;ExposeHK;1;1;MOUSE Move {X=331,Y=294}
04/07/2018 17:05:54 767;Leon;ExposeHK;1;1;MOUSE Move {X=324,Y=294}
04/07/2018 17:05:54 775;Leon;ExposeHK;1;1;MOUSE Move {X=320,Y=294}
04/07/2018 17:05:54 783;Leon;ExposeHK;1;1;MOUSE Move {X=314,Y=294}
04/07/2018 17:05:54 796;Leon;ExposeHK;1;1;Text Selection MOUSE buzz builds as focus shifts
04/07/2018 17:05:54 797;Leon;ExposeHK;1;1;MOUSE Move {X=312,Y=294}
04/07/2018 17:05:54 800;Leon;ExposeHK;1;1;MOUSE Move {X=309,Y=293}
04/07/2018 17:05:54 807;Leon;ExposeHK;1;1;MOUSE Move {X=306,Y=293}
04/07/2018 17:05:54 815;Leon;ExposeHK;1;1;MOUSE Move {X=304,Y=293}
04/07/2018 17:05:54 823;Leon;ExposeHK;1;1;MOUSE Move {X=301,Y=293}
04/07/2018 17:05:54 831;Leon;ExposeHK;1;1;MOUSE Move {X=298,Y=293}
04/07/2018 17:05:54 839;Leon;ExposeHK;1;1;MOUSE Move {X=294,Y=293}
04/07/2018 17:05:54 847;Leon;ExposeHK;1;1;MOUSE Move {X=291,Y=293}
04/07/2018 17:05:54 860;Leon;ExposeHK;1;1;Text Selection MOUSE 5 buzz builds as focus shifts
04/07/2018 17:05:54 861;Leon;ExposeHK;1;1;MOUSE Move {X=287,Y=293}
04/07/2018 17:05:54 863;Leon;ExposeHK;1;1;MOUSE Move {X=285,Y=293}
04/07/2018 17:05:54 871;Leon;ExposeHK;1;1;MOUSE Move {X=282,Y=293}
04/07/2018 17:05:54 879;Leon;ExposeHK;1;1;MOUSE Move {X=279,Y=293}
04/07/2018 17:05:54 887;Leon;ExposeHK;1;1;Text Selection MOUSE iPhone 5 buzz builds as focus shifts
