Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
18/07/2018 16:31:23.273;6;none;none;none;0;none;none;none;none;none;none;Focus Gained
18/07/2018 16:31:23.286;18;none;none;none;0;none;Mouse;Move;522;168;none;none
18/07/2018 16:31:23.287;20;none;none;none;0;none;Mouse;Move;531;195;none;none
18/07/2018 16:31:23.304;36;none;none;none;0;none;Mouse;Move;533;203;none;none
18/07/2018 16:31:23.304;37;none;none;none;0;none;Mouse;Move;536;213;none;none
18/07/2018 16:31:23.320;53;none;none;none;0;none;Mouse;Move;540;223;none;none
18/07/2018 16:31:23.338;70;none;none;none;0;none;Mouse;Move;547;249;none;none
18/07/2018 16:31:23.341;74;none;none;none;0;none;Mouse;Move;550;256;none;none
18/07/2018 16:31:23.370;103;none;none;none;0;none;Mouse;Move;551;264;none;none
18/07/2018 16:31:23.371;104;none;none;none;0;none;Mouse;Move;554;278;none;none
18/07/2018 16:31:23.374;106;none;none;none;0;none;Mouse;Move;555;286;none;none
18/07/2018 16:31:23.404;137;none;none;none;0;none;Mouse;Move;556;293;none;none
18/07/2018 16:31:23.404;137;none;none;none;0;none;Mouse;Move;557;307;none;none
18/07/2018 16:31:23.405;138;none;none;none;0;none;Mouse;Move;557;312;none;none
18/07/2018 16:31:23.421;153;none;none;none;0;none;Mouse;Move;557;319;none;none
18/07/2018 16:31:23.438;171;none;none;none;0;none;Mouse;Move;557;333;none;none
18/07/2018 16:31:23.454;187;none;none;none;0;none;Mouse;Move;557;339;none;none
18/07/2018 16:31:23.472;204;none;none;none;0;none;Mouse;Move;557;351;none;none
18/07/2018 16:31:23.487;220;none;none;none;0;none;Mouse;Move;556;356;none;none
18/07/2018 16:31:23.505;238;none;none;none;0;none;Mouse;Move;555;370;none;none
18/07/2018 16:31:23.509;242;none;none;none;0;none;Mouse;Move;554;374;none;none
18/07/2018 16:31:23.517;250;none;none;none;0;none;Mouse;Move;553;378;none;none
18/07/2018 16:31:23.538;270;none;none;none;0;none;Mouse;Move;552;381;none;none
18/07/2018 16:31:23.554;287;none;none;none;0;none;Mouse;Move;548;390;none;none
18/07/2018 16:31:23.557;290;none;none;none;0;none;Mouse;Move;547;392;none;none
18/07/2018 16:31:23.571;304;none;none;none;0;none;Mouse;Move;545;395;none;none
18/07/2018 16:31:23.588;321;none;none;none;0;none;Mouse;Move;543;401;none;none
18/07/2018 16:31:23.604;337;none;none;none;0;none;Mouse;Move;541;404;none;none
18/07/2018 16:31:23.622;354;none;none;none;0;none;Mouse;Move;536;415;none;none
18/07/2018 16:31:23.638;370;none;none;none;0;none;Mouse;Move;534;418;none;none
18/07/2018 16:31:23.655;387;none;none;none;0;none;Mouse;Move;528;427;none;none
18/07/2018 16:31:23.661;394;none;none;none;0;none;Mouse;Move;527;431;none;none
18/07/2018 16:31:23.669;402;none;none;none;0;none;Mouse;Move;526;434;none;none
18/07/2018 16:31:23.677;410;none;none;none;0;none;Mouse;Move;524;436;none;none
18/07/2018 16:31:23.685;418;none;none;none;0;none;Mouse;Move;523;440;none;none
18/07/2018 16:31:23.693;426;none;none;none;0;none;Mouse;Move;522;441;none;none
18/07/2018 16:31:23.701;434;none;none;none;0;none;Mouse;Move;521;442;none;none
18/07/2018 16:31:23.709;442;none;none;none;0;none;Mouse;Move;520;444;none;none
18/07/2018 16:31:23.717;450;none;none;none;0;none;Mouse;Move;520;445;none;none
18/07/2018 16:31:23.725;458;none;none;none;0;none;Mouse;Move;520;446;none;none
18/07/2018 16:31:23.733;466;none;none;none;0;none;Mouse;Move;519;447;none;none
18/07/2018 16:31:23.741;474;none;none;none;0;none;Mouse;Move;518;448;none;none
18/07/2018 16:31:23.749;482;none;none;none;0;none;Mouse;Move;518;450;none;none
18/07/2018 16:31:23.757;490;none;none;none;0;none;Mouse;Move;516;451;none;none
18/07/2018 16:31:23.765;498;none;none;none;0;none;Mouse;Move;516;454;none;none
18/07/2018 16:31:23.773;506;none;none;none;0;none;Mouse;Move;514;458;none;none
18/07/2018 16:31:23.781;514;none;none;none;0;none;Mouse;Move;512;462;none;none
18/07/2018 16:31:23.789;522;none;none;none;0;none;Mouse;Move;511;465;none;none
18/07/2018 16:31:23.797;530;none;none;none;0;none;Mouse;Move;508;470;none;none
18/07/2018 16:31:23.805;538;none;none;none;0;none;Mouse;Move;507;475;none;none
18/07/2018 16:31:23.813;546;none;none;none;0;none;Mouse;Move;504;482;none;none
18/07/2018 16:31:23.821;554;none;none;none;0;none;Mouse;Move;501;488;none;none
18/07/2018 16:31:23.829;562;none;none;none;0;none;Mouse;Move;498;494;none;none
18/07/2018 16:31:23.837;570;none;none;none;0;none;Mouse;Move;495;501;none;none
18/07/2018 16:31:23.845;578;none;none;none;0;none;Mouse;Move;492;507;none;none
18/07/2018 16:31:23.853;586;none;none;none;0;none;Mouse;Move;489;517;none;none
18/07/2018 16:31:23.861;594;none;none;none;0;none;Mouse;Move;485;527;none;none
18/07/2018 16:31:23.869;602;none;none;none;0;none;Mouse;Move;481;540;none;none
18/07/2018 16:31:23.877;610;none;none;none;0;none;Mouse;Move;479;552;none;none
18/07/2018 16:31:23.885;618;none;none;none;0;none;Mouse;Move;474;566;none;none
18/07/2018 16:31:23.893;626;none;none;none;0;none;Mouse;Move;472;578;none;none
18/07/2018 16:31:23.901;634;none;none;none;0;none;Mouse;Move;469;589;none;none
18/07/2018 16:31:23.910;643;none;none;none;0;none;Mouse;Move;465;597;none;none
18/07/2018 16:31:23.917;650;none;none;none;0;none;Mouse;Move;462;605;none;none
18/07/2018 16:31:23.925;658;none;none;none;0;none;Mouse;Move;460;609;none;none
18/07/2018 16:31:23.933;666;none;none;none;0;none;Mouse;Move;457;614;none;none
18/07/2018 16:31:23.941;674;none;none;none;0;none;Mouse;Move;457;616;none;none
18/07/2018 16:31:23.949;682;none;none;none;0;none;Mouse;Move;454;620;none;none
18/07/2018 16:31:23.957;690;none;none;none;0;none;Mouse;Move;454;621;none;none
18/07/2018 16:31:23.965;698;none;none;none;0;none;Mouse;Move;453;622;none;none
18/07/2018 16:31:23.973;706;none;none;none;0;none;Mouse;Move;451;623;none;none
18/07/2018 16:31:23.981;714;none;none;none;0;none;Mouse;Move;451;625;none;none
18/07/2018 16:31:23.989;722;none;none;none;0;none;Mouse;Move;449;625;none;none
18/07/2018 16:31:23.997;730;none;none;none;0;none;Mouse;Move;449;626;none;none
18/07/2018 16:31:24.5;738;none;none;none;0;none;Mouse;Move;448;626;none;none
18/07/2018 16:31:24.14;747;none;none;none;0;none;Mouse;Move;447;627;none;none
18/07/2018 16:31:24.24;757;none;none;none;0;none;Mouse;Move;446;628;none;none
18/07/2018 16:31:24.29;762;none;none;none;0;none;Mouse;Move;446;628;none;none
18/07/2018 16:31:24.42;775;none;none;none;0;none;Mouse;Move;446;628;none;none
18/07/2018 16:31:24.45;778;none;none;none;0;none;Mouse;Move;446;629;none;none
18/07/2018 16:31:24.53;786;none;none;none;0;none;Mouse;Move;445;629;none;none
18/07/2018 16:31:24.61;794;none;none;none;0;none;Mouse;Move;445;629;none;none
18/07/2018 16:31:24.69;802;none;none;none;0;none;Mouse;Move;445;630;none;none
18/07/2018 16:31:24.93;826;none;none;none;0;none;Mouse;Move;445;630;none;none
18/07/2018 16:31:24.269;1002;none;none;none;0;none;Mouse;Click;445;630;none;none
18/07/2018 16:31:24.270;1002;none;none;none;0;none;Mouse;Move;445;630;none;none
18/07/2018 16:31:24.381;1114;none;none;none;0;none;Mouse;Release;445;630;none;none
18/07/2018 16:31:24.382;1115;none;none;none;0;none;Mouse;Move;445;630;none;none
18/07/2018 16:31:24.384;1116;none;none;none;0;none;none;none;none;none;none;Click radioButton2
18/07/2018 16:31:24.533;1266;none;none;none;0;none;Mouse;Move;445;630;none;none
18/07/2018 16:31:24.541;1274;none;none;none;0;none;Mouse;Move;445;630;none;none
18/07/2018 16:31:24.549;1282;none;none;none;0;none;Mouse;Move;445;629;none;none
18/07/2018 16:31:24.557;1290;none;none;none;0;none;Mouse;Move;448;627;none;none
18/07/2018 16:31:24.565;1298;none;none;none;0;none;Mouse;Move;451;623;none;none
18/07/2018 16:31:24.573;1306;none;none;none;0;none;Mouse;Move;456;619;none;none
18/07/2018 16:31:24.581;1314;none;none;none;0;none;Mouse;Move;461;614;none;none
18/07/2018 16:31:24.589;1322;none;none;none;0;none;Mouse;Move;466;609;none;none
18/07/2018 16:31:24.597;1330;none;none;none;0;none;Mouse;Move;474;603;none;none
18/07/2018 16:31:24.605;1338;none;none;none;0;none;Mouse;Move;480;597;none;none
18/07/2018 16:31:24.613;1346;none;none;none;0;none;Mouse;Move;489;589;none;none
18/07/2018 16:31:24.621;1354;none;none;none;0;none;Mouse;Move;496;584;none;none
18/07/2018 16:31:24.629;1362;none;none;none;0;none;Mouse;Move;505;576;none;none
18/07/2018 16:31:24.637;1370;none;none;none;0;none;Mouse;Move;511;571;none;none
18/07/2018 16:31:24.645;1378;none;none;none;0;none;Mouse;Move;515;565;none;none
18/07/2018 16:31:24.653;1386;none;none;none;0;none;Mouse;Move;519;561;none;none
18/07/2018 16:31:24.661;1394;none;none;none;0;none;Mouse;Move;523;556;none;none
18/07/2018 16:31:24.669;1402;none;none;none;0;none;Mouse;Move;526;554;none;none
18/07/2018 16:31:24.677;1410;none;none;none;0;none;Mouse;Move;528;550;none;none
18/07/2018 16:31:24.691;1424;none;none;none;0;none;Mouse;Move;529;548;none;none
18/07/2018 16:31:24.693;1426;none;none;none;0;none;Mouse;Move;531;546;none;none
18/07/2018 16:31:24.701;1434;none;none;none;0;none;Mouse;Move;532;544;none;none
18/07/2018 16:31:24.709;1442;none;none;none;0;none;Mouse;Move;532;544;none;none
18/07/2018 16:31:24.717;1450;none;none;none;0;none;Mouse;Move;532;543;none;none
18/07/2018 16:31:24.725;1458;none;none;none;0;none;Mouse;Move;533;543;none;none
18/07/2018 16:31:25.253;1986;none;none;none;0;none;Mouse;Click;533;543;none;none
18/07/2018 16:31:25.254;1986;none;none;none;0;none;Mouse;Move;533;543;none;none
18/07/2018 16:31:25.365;2098;none;none;none;0;none;Mouse;Release;533;543;none;none
18/07/2018 16:31:25.366;2098;none;none;none;0;none;Mouse;Move;533;543;none;none
18/07/2018 16:31:25.366;2099;none;none;none;0;none;none;none;none;none;none;Click textBox1
18/07/2018 16:31:26.573;3306;none;none;none;0;none;Key;Down;none;none;RShiftKey;none
18/07/2018 16:31:26.721;3454;none;none;none;0;none;Key;Down;none;none;L;none
18/07/2018 16:31:26.778;3511;none;none;none;0;none;Key;Up;none;none;RShiftKey;none
18/07/2018 16:31:26.842;3575;none;none;none;0;none;Key;Up;none;none;L;none
18/07/2018 16:31:26.843;3576;none;none;none;0;none;Key;Down;none;none;E;none
18/07/2018 16:31:26.945;3678;none;none;none;0;none;Key;Up;none;none;E;none
18/07/2018 16:31:26.946;3679;none;none;none;0;none;Key;Down;none;none;O;none
18/07/2018 16:31:27.34;3767;none;none;none;0;none;Key;Up;none;none;O;none
18/07/2018 16:31:27.90;3823;none;none;none;0;none;Key;Down;none;none;N;none
18/07/2018 16:31:27.162;3895;none;none;none;0;none;Key;Up;none;none;N;none
18/07/2018 16:31:27.726;4459;none;none;none;0;none;Mouse;Move;533;543;none;none
18/07/2018 16:31:27.782;4515;none;none;none;0;none;Mouse;Move;533;542;none;none
18/07/2018 16:31:27.790;4523;none;none;none;0;none;Mouse;Move;533;541;none;none
18/07/2018 16:31:27.798;4530;none;none;none;0;none;Mouse;Move;543;543;none;none
18/07/2018 16:31:27.805;4538;none;none;none;0;none;Mouse;Move;558;550;none;none
18/07/2018 16:31:27.813;4546;none;none;none;0;none;Mouse;Move;574;560;none;none
18/07/2018 16:31:27.831;4564;none;none;none;0;none;Mouse;Move;598;571;none;none
18/07/2018 16:31:27.831;4564;none;none;none;0;none;Mouse;Move;625;586;none;none
18/07/2018 16:31:27.837;4570;none;none;none;0;none;Mouse;Move;649;599;none;none
18/07/2018 16:31:27.845;4578;none;none;none;0;none;Mouse;Move;676;614;none;none
18/07/2018 16:31:27.853;4586;none;none;none;0;none;Mouse;Move;703;630;none;none
18/07/2018 16:31:27.861;4594;none;none;none;0;none;Mouse;Move;730;645;none;none
18/07/2018 16:31:27.869;4602;none;none;none;0;none;Mouse;Move;757;656;none;none
18/07/2018 16:31:27.877;4610;none;none;none;0;none;Mouse;Move;777;665;none;none
18/07/2018 16:31:27.885;4618;none;none;none;0;none;Mouse;Move;796;674;none;none
18/07/2018 16:31:27.893;4626;none;none;none;0;none;Mouse;Move;807;679;none;none
18/07/2018 16:31:27.902;4635;none;none;none;0;none;Mouse;Move;814;684;none;none
18/07/2018 16:31:27.910;4643;none;none;none;0;none;Mouse;Move;822;689;none;none
18/07/2018 16:31:27.918;4651;none;none;none;0;none;Mouse;Move;825;691;none;none
18/07/2018 16:31:27.926;4658;none;none;none;0;none;Mouse;Move;829;693;none;none
18/07/2018 16:31:27.933;4666;none;none;none;0;none;Mouse;Move;831;695;none;none
18/07/2018 16:31:27.941;4674;none;none;none;0;none;Mouse;Move;833;696;none;none
18/07/2018 16:31:27.949;4682;none;none;none;0;none;Mouse;Move;835;697;none;none
18/07/2018 16:31:27.957;4690;none;none;none;0;none;Mouse;Move;835;697;none;none
18/07/2018 16:31:27.965;4698;none;none;none;0;none;Mouse;Move;836;697;none;none
18/07/2018 16:31:27.973;4706;none;none;none;0;none;Mouse;Move;837;697;none;none
18/07/2018 16:31:27.981;4714;none;none;none;0;none;Mouse;Move;837;697;none;none
18/07/2018 16:31:27.990;4723;none;none;none;0;none;Mouse;Move;838;697;none;none
18/07/2018 16:31:27.998;4731;none;none;none;0;none;Mouse;Move;839;697;none;none
18/07/2018 16:31:28.6;4739;none;none;none;0;none;Mouse;Move;840;697;none;none
18/07/2018 16:31:28.13;4746;none;none;none;0;none;Mouse;Move;843;695;none;none
18/07/2018 16:31:28.21;4754;none;none;none;0;none;Mouse;Move;845;693;none;none
18/07/2018 16:31:28.29;4762;none;none;none;0;none;Mouse;Move;850;690;none;none
18/07/2018 16:31:28.37;4770;none;none;none;0;none;Mouse;Move;855;685;none;none
18/07/2018 16:31:28.45;4778;none;none;none;0;none;Mouse;Move;861;680;none;none
18/07/2018 16:31:28.53;4786;none;none;none;0;none;Mouse;Move;868;673;none;none
18/07/2018 16:31:28.62;4795;none;none;none;0;none;Mouse;Move;874;668;none;none
18/07/2018 16:31:28.69;4802;none;none;none;0;none;Mouse;Move;881;662;none;none
18/07/2018 16:31:28.78;4811;none;none;none;0;none;Mouse;Move;884;660;none;none
18/07/2018 16:31:28.85;4818;none;none;none;0;none;Mouse;Move;889;656;none;none
18/07/2018 16:31:28.93;4826;none;none;none;0;none;Mouse;Move;896;650;none;none
18/07/2018 16:31:28.101;4834;none;none;none;0;none;Mouse;Move;900;645;none;none
18/07/2018 16:31:28.109;4842;none;none;none;0;none;Mouse;Move;902;642;none;none
18/07/2018 16:31:28.117;4850;none;none;none;0;none;Mouse;Move;905;639;none;none
18/07/2018 16:31:28.125;4858;none;none;none;0;none;Mouse;Move;905;637;none;none
18/07/2018 16:31:28.133;4866;none;none;none;0;none;Mouse;Move;906;636;none;none
18/07/2018 16:31:28.141;4874;none;none;none;0;none;Mouse;Move;907;635;none;none
18/07/2018 16:31:28.149;4882;none;none;none;0;none;Mouse;Move;907;635;none;none
18/07/2018 16:31:28.165;4898;none;none;none;0;none;Mouse;Move;907;635;none;none
18/07/2018 16:31:28.173;4906;none;none;none;0;none;Mouse;Move;907;633;none;none
18/07/2018 16:31:28.181;4914;none;none;none;0;none;Mouse;Move;907;633;none;none
18/07/2018 16:31:28.189;4922;none;none;none;0;none;Mouse;Move;907;632;none;none
18/07/2018 16:31:28.197;4930;none;none;none;0;none;Mouse;Move;907;630;none;none
