Focus Gained 11/06/2018 09:55:47 945
KEYPRESS DOWN LControlKey 11/06/2018 09:55:49 516
ExposeHK Activated 11/06/2018 09:55:49 521
ExposeHK Hidden 11/06/2018 09:55:49 633
KEYPRESS UP LControlKey 11/06/2018 09:55:49 651
KEYPRESS DOWN LControlKey 11/06/2018 09:55:50 162
Focus Lost 11/06/2018 09:55:50 185
ExposeHK Activated 11/06/2018 09:55:50 206
Focus Gained 11/06/2018 09:55:50 714
ExposeHK Hidden 11/06/2018 09:55:50 721
KEYPRESS UP LControlKey 11/06/2018 09:55:50 740
KEYPRESS DOWN LControlKey 11/06/2018 09:55:51 198
Focus Lost 11/06/2018 09:55:51 205
ExposeHK Activated 11/06/2018 09:55:51 225
KEYPRESS DOWN LControlKey 11/06/2018 09:55:51 729
Focus Gained 11/06/2018 09:55:51 795
ExposeHK Hidden 11/06/2018 09:55:51 802
KEYPRESS UP LControlKey 11/06/2018 09:55:51 900
KEYPRESS DOWN LControlKey 11/06/2018 09:55:52 166
Focus Lost 11/06/2018 09:55:52 174
ExposeHK Activated 11/06/2018 09:55:52 327
KEYPRESS DOWN LControlKey 11/06/2018 09:55:52 696
KEYPRESS DOWN LControlKey 11/06/2018 09:55:52 735
MOUSE Move {X=470,Y=74} 11/06/2018 09:55:52 769
KEYPRESS DOWN LControlKey 11/06/2018 09:55:52 775
MOUSE Move {X=467,Y=80} 11/06/2018 09:55:52 784
MOUSE Move {X=465,Y=86} 11/06/2018 09:55:52 795
MOUSE Move {X=463,Y=93} 11/06/2018 09:55:52 808
KEYPRESS DOWN LControlKey 11/06/2018 09:55:52 815
MOUSE Move {X=460,Y=103} 11/06/2018 09:55:52 825
MOUSE Move {X=453,Y=121} 11/06/2018 09:55:52 836
MOUSE Move {X=445,Y=141} 11/06/2018 09:55:52 851
KEYPRESS DOWN LControlKey 11/06/2018 09:55:52 856
MOUSE Move {X=440,Y=152} 11/06/2018 09:55:52 866
KEYPRESS DOWN LControlKey 11/06/2018 09:55:52 947
MOUSE Move {X=436,Y=172} 11/06/2018 09:55:52 956
KEYPRESS DOWN LControlKey 11/06/2018 09:55:52 961
MOUSE Move {X=435,Y=178} 11/06/2018 09:55:52 971
KEYPRESS DOWN LControlKey 11/06/2018 09:55:52 976
MOUSE Move {X=434,Y=181} 11/06/2018 09:55:52 986
MOUSE Move {X=433,Y=183} 11/06/2018 09:55:52 997
MOUSE Move {X=432,Y=185} 11/06/2018 09:55:53 10
KEYPRESS DOWN LControlKey 11/06/2018 09:55:53 18
