Focus Gained 13/06/2018 14:54:44 800
MOUSE Move {X=650,Y=487} 13/06/2018 14:54:46 167
MOUSE Move {X=657,Y=485} 13/06/2018 14:54:46 175
MOUSE Move {X=664,Y=484} 13/06/2018 14:54:46 182
MOUSE Move {X=670,Y=483} 13/06/2018 14:54:46 190
MOUSE Move {X=674,Y=483} 13/06/2018 14:54:46 198
MOUSE Move {X=678,Y=483} 13/06/2018 14:54:46 206
MOUSE Move {X=683,Y=483} 13/06/2018 14:54:46 214
MOUSE Move {X=685,Y=484} 13/06/2018 14:54:46 222
MOUSE Move {X=687,Y=485} 13/06/2018 14:54:46 231
MOUSE Move {X=689,Y=487} 13/06/2018 14:54:46 238
MOUSE Move {X=690,Y=488} 13/06/2018 14:54:46 246
MOUSE Move {X=690,Y=489} 13/06/2018 14:54:46 255
MOUSE Move {X=691,Y=492} 13/06/2018 14:54:46 262
MOUSE Move {X=691,Y=494} 13/06/2018 14:54:46 270
MOUSE Move {X=691,Y=496} 13/06/2018 14:54:46 278
MOUSE Move {X=691,Y=499} 13/06/2018 14:54:46 286
MOUSE Move {X=689,Y=504} 13/06/2018 14:54:46 295
MOUSE Move {X=688,Y=508} 13/06/2018 14:54:46 302
MOUSE Move {X=685,Y=513} 13/06/2018 14:54:46 310
MOUSE Move {X=680,Y=521} 13/06/2018 14:54:46 318
MOUSE Move {X=675,Y=526} 13/06/2018 14:54:46 326
MOUSE Move {X=668,Y=530} 13/06/2018 14:54:46 334
MOUSE Move {X=662,Y=531} 13/06/2018 14:54:46 342
MOUSE Move {X=661,Y=531} 13/06/2018 14:54:46 502
MOUSE Move {X=658,Y=530} 13/06/2018 14:54:46 510
MOUSE Move {X=656,Y=526} 13/06/2018 14:54:46 518
MOUSE Move {X=651,Y=516} 13/06/2018 14:54:46 526
MOUSE Move {X=648,Y=507} 13/06/2018 14:54:46 534
MOUSE Move {X=646,Y=498} 13/06/2018 14:54:46 542
MOUSE Move {X=646,Y=487} 13/06/2018 14:54:46 550
MOUSE Move {X=647,Y=477} 13/06/2018 14:54:46 558
MOUSE Move {X=653,Y=466} 13/06/2018 14:54:46 566
MOUSE Move {X=661,Y=452} 13/06/2018 14:54:46 574
MOUSE Move {X=678,Y=434} 13/06/2018 14:54:46 582
MOUSE Move {X=694,Y=416} 13/06/2018 14:54:46 591
MOUSE Move {X=715,Y=397} 13/06/2018 14:54:46 598
MOUSE Move {X=739,Y=377} 13/06/2018 14:54:46 606
MOUSE Move {X=765,Y=354} 13/06/2018 14:54:46 614
MOUSE Move {X=792,Y=329} 13/06/2018 14:54:46 622
MOUSE Move {X=820,Y=306} 13/06/2018 14:54:46 630
MOUSE Move {X=848,Y=287} 13/06/2018 14:54:46 638
MOUSE Move {X=876,Y=269} 13/06/2018 14:54:46 646
MOUSE Move {X=903,Y=254} 13/06/2018 14:54:46 654
MOUSE Move {X=930,Y=241} 13/06/2018 14:54:46 662
MOUSE Move {X=955,Y=233} 13/06/2018 14:54:46 670
MOUSE Move {X=978,Y=225} 13/06/2018 14:54:46 678
MOUSE Move {X=999,Y=221} 13/06/2018 14:54:46 686
MOUSE Move {X=1020,Y=218} 13/06/2018 14:54:46 694
MOUSE Move {X=1043,Y=217} 13/06/2018 14:54:46 702
MOUSE Move {X=1070,Y=214} 13/06/2018 14:54:46 711
MOUSE Move {X=1095,Y=212} 13/06/2018 14:54:46 718
MOUSE Move {X=1116,Y=211} 13/06/2018 14:54:46 726
MOUSE Move {X=1135,Y=211} 13/06/2018 14:54:46 734
MOUSE Move {X=1152,Y=211} 13/06/2018 14:54:46 742
MOUSE Move {X=1173,Y=209} 13/06/2018 14:54:46 750
MOUSE Move {X=1188,Y=209} 13/06/2018 14:54:46 758
MOUSE Move {X=1201,Y=208} 13/06/2018 14:54:46 766
MOUSE Move {X=1213,Y=207} 13/06/2018 14:54:46 775
MOUSE Move {X=1224,Y=207} 13/06/2018 14:54:46 788
MOUSE Move {X=1235,Y=206} 13/06/2018 14:54:46 792
MOUSE Move {X=1245,Y=205} 13/06/2018 14:54:46 798
