Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
18/07/2018 16:49:45.174;22;none;none;none;0;none;none;none;none;none;none;Focus Gained
18/07/2018 16:49:45.611;459;none;none;none;0;none;Mouse;Move;1006;737;none;none
18/07/2018 16:49:45.616;464;none;none;none;0;none;Mouse;Move;1006;737;none;none
18/07/2018 16:49:45.623;471;none;none;none;0;none;Mouse;Move;1006;737;none;none
18/07/2018 16:49:45.634;482;none;none;none;0;none;Mouse;Move;1000;737;none;none
18/07/2018 16:49:45.639;487;none;none;none;0;none;Mouse;Move;990;732;none;none
18/07/2018 16:49:45.647;495;none;none;none;0;none;Mouse;Move;973;723;none;none
18/07/2018 16:49:45.656;503;none;none;none;0;none;Mouse;Move;949;712;none;none
18/07/2018 16:49:45.663;510;none;none;none;0;none;Mouse;Move;923;700;none;none
18/07/2018 16:49:45.671;518;none;none;none;0;none;Mouse;Move;889;686;none;none
18/07/2018 16:49:45.679;526;none;none;none;0;none;Mouse;Move;849;668;none;none
18/07/2018 16:49:45.687;534;none;none;none;0;none;Mouse;Move;809;651;none;none
18/07/2018 16:49:45.695;542;none;none;none;0;none;Mouse;Move;766;634;none;none
18/07/2018 16:49:45.703;550;none;none;none;0;none;Mouse;Move;721;614;none;none
18/07/2018 16:49:45.711;558;none;none;none;0;none;Mouse;Move;678;597;none;none
18/07/2018 16:49:45.719;567;none;none;none;0;none;Mouse;Move;636;581;none;none
18/07/2018 16:49:45.727;574;none;none;none;0;none;Mouse;Move;596;566;none;none
18/07/2018 16:49:45.735;582;none;none;none;0;none;Mouse;Move;562;552;none;none
18/07/2018 16:49:45.743;590;none;none;none;0;none;Mouse;Move;539;544;none;none
18/07/2018 16:49:45.751;598;none;none;none;0;none;Mouse;Move;516;535;none;none
18/07/2018 16:49:45.759;606;none;none;none;0;none;Mouse;Move;501;530;none;none
18/07/2018 16:49:45.775;622;none;none;none;0;none;Mouse;Move;489;527;none;none
18/07/2018 16:49:45.775;623;none;none;none;0;none;Mouse;Move;480;523;none;none
18/07/2018 16:49:45.783;630;none;none;none;0;none;Mouse;Move;476;523;none;none
18/07/2018 16:49:45.791;638;none;none;none;0;none;Mouse;Move;474;522;none;none
18/07/2018 16:49:45.799;646;none;none;none;0;none;Mouse;Move;474;522;none;none
18/07/2018 16:49:45.911;759;none;none;none;0;none;Mouse;Move;474;522;none;none
18/07/2018 16:49:45.919;767;none;none;none;0;none;Mouse;Move;474;522;none;none
18/07/2018 16:49:45.927;774;none;none;none;0;none;Mouse;Move;474;522;none;none
18/07/2018 16:49:45.935;783;none;none;none;0;none;Mouse;Move;474;523;none;none
18/07/2018 16:49:45.943;791;none;none;none;0;none;Mouse;Move;474;524;none;none
18/07/2018 16:49:45.951;799;none;none;none;0;none;Mouse;Move;475;525;none;none
18/07/2018 16:49:45.959;807;none;none;none;0;none;Mouse;Move;476;527;none;none
18/07/2018 16:49:45.967;815;none;none;none;0;none;Mouse;Move;477;528;none;none
