Timestamp;Participant;Aid;Phase;BlockID;Event
16/07/2018 12:54:28 164;Leon;ExposeKeyboard;2;1;MOUSE Move {X=442,Y=298}
16/07/2018 12:54:28 172;Leon;ExposeKeyboard;2;1;MOUSE Move {X=441,Y=297}
16/07/2018 12:54:28 180;Leon;ExposeKeyboard;2;1;MOUSE Move {X=441,Y=297}
16/07/2018 12:54:28 188;Leon;ExposeKeyboard;2;1;MOUSE Move {X=441,Y=297}
16/07/2018 12:54:28 196;Leon;ExposeKeyboard;2;1;MOUSE Move {X=441,Y=296}
16/07/2018 12:54:28 252;Leon;ExposeKeyboard;2;1;MOUSE Move {X=440,Y=296}
16/07/2018 12:54:28 260;Leon;ExposeKeyboard;2;1;MOUSE Move {X=440,Y=296}
16/07/2018 12:54:28 291;Leon;ExposeKeyboard;2;1;MOUSE Move {X=439,Y=296}
16/07/2018 12:54:28 293;Leon;ExposeKeyboard;2;1;MOUSE Move {X=439,Y=295}
16/07/2018 12:54:28 500;Leon;ExposeKeyboard;2;1;MOUSE Move {X=438,Y=295}
16/07/2018 12:54:28 508;Leon;ExposeKeyboard;2;1;MOUSE Move {X=438,Y=295}
16/07/2018 12:54:28 516;Leon;ExposeKeyboard;2;1;MOUSE Move {X=437,Y=295}
16/07/2018 12:54:28 524;Leon;ExposeKeyboard;2;1;MOUSE Move {X=434,Y=295}
16/07/2018 12:54:28 532;Leon;ExposeKeyboard;2;1;MOUSE Move {X=431,Y=295}
16/07/2018 12:54:28 540;Leon;ExposeKeyboard;2;1;MOUSE Move {X=428,Y=295}
16/07/2018 12:54:28 548;Leon;ExposeKeyboard;2;1;Text Selection MOUSE 

16/07/2018 12:54:28 548;Leon;ExposeKeyboard;2;1;MOUSE Move {X=425,Y=295}
16/07/2018 12:54:28 556;Leon;ExposeKeyboard;2;1;MOUSE Move {X=422,Y=295}
16/07/2018 12:54:28 564;Leon;ExposeKeyboard;2;1;MOUSE Move {X=419,Y=295}
16/07/2018 12:54:28 572;Leon;ExposeKeyboard;2;1;MOUSE Move {X=415,Y=295}
16/07/2018 12:54:28 586;Leon;ExposeKeyboard;2;1;MOUSE Move {X=411,Y=295}
16/07/2018 12:54:28 588;Leon;ExposeKeyboard;2;1;MOUSE Move {X=406,Y=295}
16/07/2018 12:54:28 596;Leon;ExposeKeyboard;2;1;Text Selection MOUSE shifts
16/07/2018 12:54:28 597;Leon;ExposeKeyboard;2;1;MOUSE Move {X=402,Y=295}
16/07/2018 12:54:28 604;Leon;ExposeKeyboard;2;1;MOUSE Move {X=398,Y=294}
16/07/2018 12:54:28 612;Leon;ExposeKeyboard;2;1;MOUSE Move {X=392,Y=294}
16/07/2018 12:54:28 620;Leon;ExposeKeyboard;2;1;MOUSE Move {X=385,Y=294}
16/07/2018 12:54:28 628;Leon;ExposeKeyboard;2;1;Text Selection MOUSE focus shifts
16/07/2018 12:54:28 628;Leon;ExposeKeyboard;2;1;MOUSE Move {X=377,Y=294}
16/07/2018 12:54:28 636;Leon;ExposeKeyboard;2;1;MOUSE Move {X=369,Y=293}
16/07/2018 12:54:28 644;Leon;ExposeKeyboard;2;1;MOUSE Move {X=361,Y=293}
16/07/2018 12:54:28 652;Leon;ExposeKeyboard;2;1;MOUSE Move {X=351,Y=293}
16/07/2018 12:54:28 667;Leon;ExposeKeyboard;2;1;Text Selection MOUSE builds as focus shifts
16/07/2018 12:54:28 668;Leon;ExposeKeyboard;2;1;MOUSE Move {X=341,Y=292}
16/07/2018 12:54:28 669;Leon;ExposeKeyboard;2;1;MOUSE Move {X=332,Y=292}
16/07/2018 12:54:28 676;Leon;ExposeKeyboard;2;1;MOUSE Move {X=322,Y=292}
16/07/2018 12:54:28 684;Leon;ExposeKeyboard;2;1;MOUSE Move {X=314,Y=291}
16/07/2018 12:54:28 692;Leon;ExposeKeyboard;2;1;Text Selection MOUSE buzz builds as focus shifts
16/07/2018 12:54:28 692;Leon;ExposeKeyboard;2;1;MOUSE Move {X=304,Y=290}
16/07/2018 12:54:28 700;Leon;ExposeKeyboard;2;1;MOUSE Move {X=296,Y=290}
16/07/2018 12:54:28 708;Leon;ExposeKeyboard;2;1;MOUSE Move {X=290,Y=290}
16/07/2018 12:54:28 716;Leon;ExposeKeyboard;2;1;Text Selection MOUSE 5 buzz builds as focus shifts
16/07/2018 12:54:28 716;Leon;ExposeKeyboard;2;1;MOUSE Move {X=283,Y=289}
16/07/2018 12:54:28 724;Leon;ExposeKeyboard;2;1;MOUSE Move {X=277,Y=289}
16/07/2018 12:54:28 732;Leon;ExposeKeyboard;2;1;Text Selection MOUSE iPhone 5 buzz builds as focus shifts
16/07/2018 12:54:28 732;Leon;ExposeKeyboard;2;1;MOUSE Move {X=271,Y=288}
16/07/2018 12:54:28 740;Leon;ExposeKeyboard;2;1;MOUSE Move {X=266,Y=287}
16/07/2018 12:54:28 748;Leon;ExposeKeyboard;2;1;MOUSE Move {X=263,Y=287}
16/07/2018 12:54:28 756;Leon;ExposeKeyboard;2;1;MOUSE Move {X=261,Y=286}
16/07/2018 12:54:28 764;Leon;ExposeKeyboard;2;1;MOUSE Move {X=260,Y=286}
16/07/2018 12:54:28 772;Leon;ExposeKeyboard;2;1;MOUSE Move {X=259,Y=286}
16/07/2018 12:54:28 780;Leon;ExposeKeyboard;2;1;MOUSE Move {X=259,Y=286}
16/07/2018 12:54:28 788;Leon;ExposeKeyboard;2;1;MOUSE Move {X=258,Y=286}
16/07/2018 12:54:28 796;Leon;ExposeKeyboard;2;1;MOUSE Move {X=257,Y=286}
16/07/2018 12:54:28 812;Leon;ExposeKeyboard;2;1;MOUSE Move {X=257,Y=286}
16/07/2018 12:54:28 820;Leon;ExposeKeyboard;2;1;MOUSE Move {X=256,Y=286}
16/07/2018 12:54:28 828;Leon;ExposeKeyboard;2;1;MOUSE Move {X=256,Y=286}
16/07/2018 12:54:28 836;Leon;ExposeKeyboard;2;1;MOUSE Move {X=255,Y=286}
16/07/2018 12:54:28 844;Leon;ExposeKeyboard;2;1;MOUSE Move {X=254,Y=286}
