Focus Gained 14/06/2018 14:10:17 580
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 140
Focus Lost 14/06/2018 14:10:19 148
ExposeHK Activated 14/06/2018 14:10:19 164
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 634
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 667
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 700
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 733
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 767
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 799
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 833
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 865
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 898
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 931
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 965
KEYPRESS DOWN LControlKey 14/06/2018 14:10:19 997
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 30
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 63
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 96
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 129
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 163
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 195
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 228
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 261
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 294
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 327
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 361
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 400
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 427
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 507
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 510
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 526
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 559
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 592
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 626
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 658
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 691
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 724
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 758
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 790
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 823
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 857
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 889
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 922
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 955
KEYPRESS DOWN LControlKey 14/06/2018 14:10:20 988
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 22
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 55
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 87
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 120
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 153
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 187
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 219
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 252
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 285
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 318
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 351
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 384
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 417
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 450
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 483
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 517
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 549
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 582
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 615
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 648
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 681
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 714
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 747
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 785
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 813
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 847
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 879
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 912
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 945
KEYPRESS DOWN LControlKey 14/06/2018 14:10:21 978
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 11
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 44
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 77
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 110
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 143
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 176
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 209
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 242
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 275
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 308
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 341
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 374
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 408
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 440
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 473
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 506
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 539
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 572
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 605
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 639
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 671
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 704
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 749
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 770
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 804
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 837
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 869
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 903
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 935
KEYPRESS DOWN LControlKey 14/06/2018 14:10:22 968
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 2
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 35
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 68
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 100
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 133
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 166
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 199
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 232
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 265
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 298
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 331
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 364
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 397
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 430
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 463
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 496
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 537
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 562
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 595
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 628
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 661
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 694
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 727
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 760
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 793
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 826
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 859
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 893
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 925
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 958
KEYPRESS DOWN LControlKey 14/06/2018 14:10:23 991
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 25
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 57
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 90
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 123
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 164
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 189
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 222
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 256
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 288
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 321
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 356
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 387
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 421
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 453
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 486
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 520
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 552
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 585
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 618
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 651
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 685
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 717
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 750
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 783
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 816
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 849
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 882
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 917
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 948
KEYPRESS DOWN LControlKey 14/06/2018 14:10:24 981
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 14
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 47
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 80
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 113
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 146
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 180
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 212
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 245
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 278
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 312
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 344
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 378
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 410
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 443
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 476
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 509
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 542
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 577
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 608
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 641
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 674
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 707
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 740
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 773
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 806
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 839
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 872
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 905
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 938
KEYPRESS DOWN LControlKey 14/06/2018 14:10:25 972
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 8
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 37
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 70
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 103
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 136
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 169
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 202
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 235
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 268
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 301
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 334
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 367
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 400
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 433
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 466
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 499
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 532
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 565
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 598
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 631
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 664
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 697
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 731
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 763
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 796
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 829
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 862
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 895
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 928
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 961
KEYPRESS DOWN LControlKey 14/06/2018 14:10:26 995
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 27
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 60
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 93
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 126
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 159
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 192
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 225
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 259
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 291
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 324
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 357
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 390
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 424
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 456
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 489
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 523
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 555
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 588
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 621
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 654
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 687
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 720
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 753
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 786
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 819
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 852
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 885
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 918
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 952
KEYPRESS DOWN LControlKey 14/06/2018 14:10:27 984
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 17
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 50
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 84
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 116
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 149
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 182
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 215
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 249
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 281
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 314
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 347
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 380
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 414
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 446
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 480
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 512
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 547
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 578
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 611
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 644
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 677
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 710
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 743
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 776
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 809
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 842
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 875
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 908
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 941
KEYPRESS DOWN LControlKey 14/06/2018 14:10:28 974
KEYPRESS DOWN LControlKey 14/06/2018 14:10:29 7
KEYPRESS DOWN LControlKey 14/06/2018 14:10:29 40
KEYPRESS DOWN LControlKey 14/06/2018 14:10:29 73
KEYPRESS DOWN LControlKey 14/06/2018 14:10:29 106
KEYPRESS DOWN LControlKey 14/06/2018 14:10:29 139
KEYPRESS DOWN LControlKey 14/06/2018 14:10:29 173
KEYPRESS DOWN LControlKey 14/06/2018 14:10:29 205
