Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
25/07/2018 12:55:14.543;39;none;none;none;0;none;none;none;none;none;none;Focus Gained
25/07/2018 12:55:15.395;892;none;none;none;0;none;Mouse;Move;1015;742;none;none
25/07/2018 12:55:15.402;898;none;none;none;0;none;Mouse;Move;1014;742;none;none
25/07/2018 12:55:15.410;906;none;none;none;0;none;Mouse;Move;1012;742;none;none
25/07/2018 12:55:15.418;915;none;none;none;0;none;Mouse;Move;1007;741;none;none
25/07/2018 12:55:15.426;923;none;none;none;0;none;Mouse;Move;998;737;none;none
25/07/2018 12:55:15.434;931;none;none;none;0;none;Mouse;Move;990;733;none;none
25/07/2018 12:55:15.442;939;none;none;none;0;none;Mouse;Move;982;730;none;none
25/07/2018 12:55:15.450;947;none;none;none;0;none;Mouse;Move;975;727;none;none
25/07/2018 12:55:15.458;955;none;none;none;0;none;Mouse;Move;970;725;none;none
25/07/2018 12:55:15.466;963;none;none;none;0;none;Mouse;Move;966;723;none;none
25/07/2018 12:55:15.474;971;none;none;none;0;none;Mouse;Move;963;722;none;none
25/07/2018 12:55:15.482;979;none;none;none;0;none;Mouse;Move;961;721;none;none
25/07/2018 12:55:15.490;987;none;none;none;0;none;Mouse;Move;961;720;none;none
25/07/2018 12:55:16.421;1918;none;none;none;0;none;Key;Down;none;none;RShiftKey;none
25/07/2018 12:55:16.592;2089;none;none;none;0;none;Key;Down;none;none;B;none
25/07/2018 12:55:16.657;2154;none;none;none;0;none;Key;Up;none;none;RShiftKey;none
25/07/2018 12:55:16.688;2185;none;none;none;0;none;Key;Up;none;none;B;none
25/07/2018 12:55:16.784;2280;none;none;none;0;none;Key;Down;none;none;I;none
25/07/2018 12:55:16.856;2353;none;none;none;0;none;Key;Up;none;none;I;none
25/07/2018 12:55:16.960;2457;none;none;none;0;none;Key;Down;none;none;N;none
25/07/2018 12:55:17.32;2529;none;none;none;0;none;Key;Up;none;none;N;none
25/07/2018 12:55:17.144;2641;none;none;none;0;none;Key;Down;none;none;H;none
25/07/2018 12:55:17.208;2705;none;none;none;0;none;Key;Up;none;none;H;none
25/07/2018 12:55:17.209;2705;none;none;none;0;none;Key;Down;none;none;Space;none
25/07/2018 12:55:17.304;2801;none;none;none;0;none;Key;Up;none;none;Space;none
25/07/2018 12:55:17.408;2905;none;none;none;0;none;Key;Down;none;none;RShiftKey;none
25/07/2018 12:55:17.584;3080;none;none;none;0;none;Key;Down;none;none;T;none
25/07/2018 12:55:17.640;3137;none;none;none;0;none;Key;Up;none;none;RShiftKey;none
25/07/2018 12:55:17.672;3169;none;none;none;0;none;Key;Up;none;none;T;none
25/07/2018 12:55:17.752;3249;none;none;none;0;none;Key;Down;none;none;H;none
25/07/2018 12:55:17.856;3353;none;none;none;0;none;Key;Up;none;none;H;none
25/07/2018 12:55:17.888;3385;none;none;none;0;none;Key;Down;none;none;A;none
25/07/2018 12:55:17.984;3480;none;none;none;0;none;Key;Up;none;none;A;none
25/07/2018 12:55:17.984;3481;none;none;none;0;none;Key;Down;none;none;N;none
25/07/2018 12:55:18.56;3552;none;none;none;0;none;Key;Up;none;none;N;none
