Focus Gained 10/06/2018 19:50:44 35
MOUSE Move {X=507,Y=69} 10/06/2018 19:50:45 354
MOUSE Move {X=519,Y=71} 10/06/2018 19:50:45 362
MOUSE Move {X=544,Y=75} 10/06/2018 19:50:45 373
MOUSE Move {X=566,Y=77} 10/06/2018 19:50:45 383
MOUSE Move {X=602,Y=78} 10/06/2018 19:50:45 395
MOUSE Move {X=671,Y=85} 10/06/2018 19:50:45 405
MOUSE Move {X=767,Y=100} 10/06/2018 19:50:45 418
MOUSE Move {X=877,Y=125} 10/06/2018 19:50:45 431
MOUSE Move {X=982,Y=153} 10/06/2018 19:50:45 444
MOUSE Move {X=1076,Y=180} 10/06/2018 19:50:45 456
MOUSE Move {X=1154,Y=204} 10/06/2018 19:50:45 470
MOUSE Move {X=1211,Y=220} 10/06/2018 19:50:45 482
MOUSE Move {X=1235,Y=226} 10/06/2018 19:50:45 496
MOUSE Move {X=1244,Y=231} 10/06/2018 19:50:45 512
MOUSE Move {X=1244,Y=234} 10/06/2018 19:50:45 521
MOUSE Move {X=1244,Y=234} 10/06/2018 19:50:45 733
MOUSE Move {X=1244,Y=233} 10/06/2018 19:50:45 740
MOUSE Move {X=1245,Y=226} 10/06/2018 19:50:45 751
MOUSE Move {X=1247,Y=205} 10/06/2018 19:50:45 763
MOUSE Move {X=1251,Y=168} 10/06/2018 19:50:45 778
MOUSE Move {X=1254,Y=130} 10/06/2018 19:50:45 790
MOUSE Move {X=1256,Y=110} 10/06/2018 19:50:45 802
MOUSE Move {X=1256,Y=96} 10/06/2018 19:50:45 815
MOUSE Move {X=1256,Y=80} 10/06/2018 19:50:45 828
MOUSE Move {X=1255,Y=68} 10/06/2018 19:50:45 840
MOUSE Move {X=1255,Y=61} 10/06/2018 19:50:45 853
MOUSE Move {X=1254,Y=58} 10/06/2018 19:50:45 867
MOUSE Move {X=1254,Y=57} 10/06/2018 19:50:45 883
MOUSE Move {X=1254,Y=57} 10/06/2018 19:50:45 892
MOUSE Move {X=1254,Y=56} 10/06/2018 19:50:45 906
MOUSE Move {X=1254,Y=55} 10/06/2018 19:50:45 918
MOUSE Move {X=1255,Y=55} 10/06/2018 19:50:45 957
MOUSE Move {X=1262,Y=55} 10/06/2018 19:50:45 969
MOUSE Move {X=1286,Y=45} 10/06/2018 19:50:46 42
MOUSE Move {X=1294,Y=40} 10/06/2018 19:50:46 47
MOUSE Move {X=1298,Y=38} 10/06/2018 19:50:46 60
MOUSE Move {X=1299,Y=38} 10/06/2018 19:50:46 73
MOUSE Move {X=1300,Y=37} 10/06/2018 19:50:46 86
MOUSE Move {X=1301,Y=37} 10/06/2018 19:50:46 100
MOUSE Move {X=1302,Y=37} 10/06/2018 19:50:46 125
MOUSE Move {X=1302,Y=37} 10/06/2018 19:50:46 213
MOUSE Move {X=1303,Y=37} 10/06/2018 19:50:46 227
MOUSE Move {X=1303,Y=38} 10/06/2018 19:50:46 304
MOUSE Move {X=1304,Y=39} 10/06/2018 19:50:46 316
MOUSE Move {X=1304,Y=40} 10/06/2018 19:50:46 329
MOUSE click {X=1304,Y=40} 10/06/2018 19:50:46 471
MOUSE Move {X=1304,Y=40} 10/06/2018 19:50:46 476
MOUSE release {X=1304,Y=40} 10/06/2018 19:50:46 561
MOUSE Move {X=1304,Y=40} 10/06/2018 19:50:46 565
Focus Lost 10/06/2018 19:50:46 581
