Focus Gained 10/06/2018 19:51:29 399
MOUSE Move {X=494,Y=62} 10/06/2018 19:51:30 141
MOUSE Move {X=495,Y=62} 10/06/2018 19:51:30 180
MOUSE Move {X=544,Y=66} 10/06/2018 19:51:30 221
MOUSE Move {X=594,Y=70} 10/06/2018 19:51:30 238
MOUSE Move {X=629,Y=80} 10/06/2018 19:51:30 272
MOUSE Move {X=639,Y=88} 10/06/2018 19:51:30 294
MOUSE Move {X=641,Y=91} 10/06/2018 19:51:30 410
MOUSE Move {X=641,Y=91} 10/06/2018 19:51:30 441
MOUSE Move {X=641,Y=91} 10/06/2018 19:51:30 459
MOUSE Move {X=645,Y=94} 10/06/2018 19:51:30 484
MOUSE Move {X=654,Y=98} 10/06/2018 19:51:30 510
MOUSE Move {X=663,Y=101} 10/06/2018 19:51:30 522
MOUSE Move {X=679,Y=105} 10/06/2018 19:51:30 546
MOUSE Move {X=707,Y=115} 10/06/2018 19:51:30 565
MOUSE Move {X=730,Y=124} 10/06/2018 19:51:30 576
MOUSE Move {X=747,Y=130} 10/06/2018 19:51:30 590
MOUSE Move {X=758,Y=134} 10/06/2018 19:51:30 603
MOUSE Move {X=765,Y=136} 10/06/2018 19:51:30 632
MOUSE Move {X=766,Y=137} 10/06/2018 19:51:30 649
MOUSE Move {X=766,Y=137} 10/06/2018 19:51:30 662
MOUSE Move {X=767,Y=138} 10/06/2018 19:51:30 677
MOUSE Move {X=768,Y=138} 10/06/2018 19:51:30 701
MOUSE Move {X=768,Y=138} 10/06/2018 19:51:30 721
MOUSE Move {X=769,Y=138} 10/06/2018 19:51:30 803
MOUSE Move {X=769,Y=139} 10/06/2018 19:51:30 816
MOUSE Move {X=771,Y=139} 10/06/2018 19:51:30 830
MOUSE Move {X=773,Y=140} 10/06/2018 19:51:30 841
MOUSE Move {X=775,Y=141} 10/06/2018 19:51:30 855
MOUSE Move {X=776,Y=141} 10/06/2018 19:51:30 868
MOUSE Move {X=777,Y=142} 10/06/2018 19:51:30 881
MOUSE click {X=777,Y=142} 10/06/2018 19:51:31 79
MOUSE Move {X=777,Y=142} 10/06/2018 19:51:31 85
Focus Lost 10/06/2018 19:51:31 92
MOUSE release {X=777,Y=142} 10/06/2018 19:51:31 189
MOUSE Move {X=777,Y=142} 10/06/2018 19:51:31 202
Focus Gained 10/06/2018 19:51:31 230
MOUSE Move {X=786,Y=139} 10/06/2018 19:51:31 624
MOUSE Move {X=822,Y=125} 10/06/2018 19:51:31 636
MOUSE Move {X=914,Y=98} 10/06/2018 19:51:31 652
MOUSE Move {X=1041,Y=95} 10/06/2018 19:51:31 736
MOUSE Move {X=1054,Y=95} 10/06/2018 19:51:31 746
MOUSE Move {X=1061,Y=95} 10/06/2018 19:51:31 760
MOUSE Move {X=1064,Y=95} 10/06/2018 19:51:31 773
MOUSE Move {X=1065,Y=95} 10/06/2018 19:51:31 786
MOUSE Move {X=1066,Y=95} 10/06/2018 19:51:31 905
MOUSE Move {X=1067,Y=95} 10/06/2018 19:51:31 914
MOUSE Move {X=1068,Y=94} 10/06/2018 19:51:31 927
MOUSE Move {X=1070,Y=88} 10/06/2018 19:51:31 940
MOUSE Move {X=1078,Y=82} 10/06/2018 19:51:31 952
MOUSE Move {X=1092,Y=75} 10/06/2018 19:51:31 965
MOUSE Move {X=1114,Y=67} 10/06/2018 19:51:31 979
MOUSE Move {X=1149,Y=59} 10/06/2018 19:51:31 991
MOUSE Move {X=1205,Y=49} 10/06/2018 19:51:32 5
MOUSE Move {X=1255,Y=41} 10/06/2018 19:51:32 18
MOUSE Move {X=1292,Y=37} 10/06/2018 19:51:32 29
MOUSE Move {X=1316,Y=37} 10/06/2018 19:51:32 43
MOUSE Move {X=1334,Y=38} 10/06/2018 19:51:32 56
MOUSE Move {X=1344,Y=39} 10/06/2018 19:51:32 68
MOUSE Move {X=1353,Y=41} 10/06/2018 19:51:32 82
MOUSE Move {X=1358,Y=42} 10/06/2018 19:51:32 94
MOUSE Move {X=1361,Y=42} 10/06/2018 19:51:32 106
MOUSE Move {X=1362,Y=42} 10/06/2018 19:51:32 119
MOUSE Move {X=1362,Y=42} 10/06/2018 19:51:32 131
MOUSE Move {X=1363,Y=43} 10/06/2018 19:51:32 145
MOUSE Move {X=1362,Y=44} 10/06/2018 19:51:32 262
MOUSE Move {X=1355,Y=45} 10/06/2018 19:51:32 275
MOUSE Move {X=1343,Y=47} 10/06/2018 19:51:32 287
MOUSE Move {X=1329,Y=48} 10/06/2018 19:51:32 301
MOUSE Move {X=1320,Y=49} 10/06/2018 19:51:32 314
MOUSE Move {X=1313,Y=50} 10/06/2018 19:51:32 326
MOUSE Move {X=1310,Y=51} 10/06/2018 19:51:32 339
MOUSE Move {X=1309,Y=51} 10/06/2018 19:51:32 352
MOUSE Move {X=1307,Y=51} 10/06/2018 19:51:32 364
MOUSE Move {X=1307,Y=51} 10/06/2018 19:51:32 378
MOUSE Move {X=1306,Y=51} 10/06/2018 19:51:32 390
MOUSE Move {X=1306,Y=51} 10/06/2018 19:51:32 402
MOUSE Move {X=1306,Y=51} 10/06/2018 19:51:32 467
MOUSE Move {X=1306,Y=51} 10/06/2018 19:51:32 611
MOUSE Move {X=1306,Y=51} 10/06/2018 19:51:32 624
MOUSE click {X=1306,Y=51} 10/06/2018 19:51:32 637
MOUSE Move {X=1306,Y=51} 10/06/2018 19:51:32 645
MOUSE release {X=1306,Y=51} 10/06/2018 19:51:32 738
MOUSE Move {X=1306,Y=51} 10/06/2018 19:51:32 742
Focus Lost 10/06/2018 19:51:32 762
