Focus Gained 14/06/2018 16:10:22 946
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 472
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 506
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 539
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 572
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 605
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 637
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 670
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 703
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 737
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 769
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 803
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 836
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 869
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 901
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 935
KEYPRESS DOWN LControlKey 14/06/2018 16:10:27 967
KEYPRESS DOWN LControlKey 14/06/2018 16:10:28 1
KEYPRESS DOWN LControlKey 14/06/2018 16:10:28 34
KEYPRESS DOWN LControlKey 14/06/2018 16:10:28 67
KEYPRESS DOWN LControlKey 14/06/2018 16:10:28 100
KEYPRESS DOWN LControlKey 14/06/2018 16:10:28 132
KEYPRESS DOWN LControlKey 14/06/2018 16:10:28 166
KEYPRESS DOWN LControlKey 14/06/2018 16:10:28 198
KEYPRESS DOWN LControlKey 14/06/2018 16:10:28 231
KEYPRESS DOWN LControlKey 14/06/2018 16:10:28 264
Focus Gained 14/06/2018 16:10:28 298
ExposeHK Hidden 14/06/2018 16:10:28 299
KEYPRESS UP LControlKey 14/06/2018 16:10:28 306
Focus Lost 14/06/2018 16:10:29 84
