Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
31/07/2018 11:05:48.575;21;none;none;none;0;none;none;none;none;none;none;Focus Gained
31/07/2018 11:05:49.596;1040;none;none;none;0;none;Mouse;Move;130;647;none;none
31/07/2018 11:05:49.606;1047;none;none;none;0;none;Mouse;Move;131;647;none;none
31/07/2018 11:05:49.606;1052;none;none;none;0;none;Mouse;Move;131;647;none;none
31/07/2018 11:05:49.616;1060;none;none;none;0;none;Mouse;Move;132;646;none;none
31/07/2018 11:05:49.626;1068;none;none;none;0;none;Mouse;Move;134;646;none;none
31/07/2018 11:05:49.636;1076;none;none;none;0;none;Mouse;Move;138;646;none;none
31/07/2018 11:05:49.636;1084;none;none;none;0;none;Mouse;Move;147;646;none;none
31/07/2018 11:05:49.646;1092;none;none;none;0;none;Mouse;Move;158;646;none;none
31/07/2018 11:05:49.656;1100;none;none;none;0;none;Mouse;Move;171;646;none;none
31/07/2018 11:05:49.666;1108;none;none;none;0;none;Mouse;Move;183;646;none;none
31/07/2018 11:05:49.676;1116;none;none;none;0;none;Mouse;Move;195;647;none;none
31/07/2018 11:05:49.676;1124;none;none;none;0;none;Mouse;Move;209;648;none;none
31/07/2018 11:05:49.686;1132;none;none;none;0;none;Mouse;Move;224;651;none;none
31/07/2018 11:05:49.696;1140;none;none;none;0;none;Mouse;Move;238;652;none;none
31/07/2018 11:05:49.706;1148;none;none;none;0;none;Mouse;Move;252;654;none;none
31/07/2018 11:05:49.716;1156;none;none;none;0;none;Mouse;Move;264;657;none;none
31/07/2018 11:05:49.716;1164;none;none;none;0;none;Mouse;Move;276;660;none;none
31/07/2018 11:05:49.726;1172;none;none;none;0;none;Mouse;Move;286;662;none;none
31/07/2018 11:05:49.736;1180;none;none;none;0;none;Mouse;Move;295;664;none;none
31/07/2018 11:05:49.748;1188;none;none;none;0;none;Mouse;Move;303;665;none;none
31/07/2018 11:05:49.748;1196;none;none;none;0;none;Mouse;Move;308;666;none;none
31/07/2018 11:05:49.758;1204;none;none;none;0;none;Mouse;Move;312;667;none;none
31/07/2018 11:05:49.768;1212;none;none;none;0;none;Mouse;Move;315;668;none;none
31/07/2018 11:05:49.778;1220;none;none;none;0;none;Mouse;Move;318;669;none;none
31/07/2018 11:05:49.788;1228;none;none;none;0;none;Mouse;Move;321;669;none;none
31/07/2018 11:05:49.788;1236;none;none;none;0;none;Mouse;Move;323;669;none;none
31/07/2018 11:05:49.798;1244;none;none;none;0;none;Mouse;Move;324;670;none;none
31/07/2018 11:05:49.808;1252;none;none;none;0;none;Mouse;Move;325;670;none;none
31/07/2018 11:05:49.818;1260;none;none;none;0;none;Mouse;Move;327;670;none;none
31/07/2018 11:05:49.828;1268;none;none;none;0;none;Mouse;Move;328;670;none;none
31/07/2018 11:05:49.828;1276;none;none;none;0;none;Mouse;Move;329;670;none;none
31/07/2018 11:05:49.838;1284;none;none;none;0;none;Mouse;Move;331;671;none;none
31/07/2018 11:05:49.848;1292;none;none;none;0;none;Mouse;Move;331;671;none;none
31/07/2018 11:05:49.858;1300;none;none;none;0;none;Mouse;Move;333;671;none;none
31/07/2018 11:05:49.868;1308;none;none;none;0;none;Mouse;Move;334;671;none;none
31/07/2018 11:05:49.868;1316;none;none;none;0;none;Mouse;Move;335;671;none;none
31/07/2018 11:05:49.878;1324;none;none;none;0;none;Mouse;Move;337;672;none;none
31/07/2018 11:05:49.893;1332;none;none;none;0;none;Mouse;Move;339;672;none;none
31/07/2018 11:05:49.901;1340;none;none;none;0;none;Mouse;Move;341;672;none;none
31/07/2018 11:05:49.909;1348;none;none;none;0;none;Mouse;Move;343;672;none;none
31/07/2018 11:05:49.917;1356;none;none;none;0;none;Mouse;Move;346;672;none;none
31/07/2018 11:05:49.925;1364;none;none;none;0;none;Mouse;Move;349;672;none;none
