Focus Gained 12/09/2012 6:56:12 p.m. 945
MOUSE release {X=540,Y=103} 12/09/2012 6:56:24 p.m. 809
MOUSE click {X=540,Y=103} 12/09/2012 6:56:24 p.m. 913
MOUSE release {X=540,Y=103} 12/09/2012 6:56:24 p.m. 985
MOUSE click {X=540,Y=103} 12/09/2012 6:56:25 p.m. 89
MOUSE release {X=540,Y=103} 12/09/2012 6:56:25 p.m. 161
MOUSE click {X=540,Y=103} 12/09/2012 6:56:25 p.m. 265
MOUSE release {X=540,Y=103} 12/09/2012 6:56:25 p.m. 329
MOUSE click {X=540,Y=103} 12/09/2012 6:56:25 p.m. 425
MOUSE release {X=540,Y=103} 12/09/2012 6:56:25 p.m. 497
MOUSE click {X=540,Y=103} 12/09/2012 6:56:25 p.m. 593
MOUSE release {X=540,Y=103} 12/09/2012 6:56:25 p.m. 673
MOUSE click {X=540,Y=103} 12/09/2012 6:56:25 p.m. 761
MOUSE release {X=540,Y=103} 12/09/2012 6:56:25 p.m. 841
MOUSE click {X=540,Y=103} 12/09/2012 6:56:25 p.m. 937
MOUSE release {X=540,Y=103} 12/09/2012 6:56:26 p.m. 9
MOUSE click {X=540,Y=103} 12/09/2012 6:56:26 p.m. 105
MOUSE release {X=540,Y=103} 12/09/2012 6:56:26 p.m. 185
MOUSE click {X=540,Y=103} 12/09/2012 6:56:26 p.m. 265
MOUSE release {X=540,Y=103} 12/09/2012 6:56:26 p.m. 361
MOUSE click {X=540,Y=103} 12/09/2012 6:56:26 p.m. 431
MOUSE release {X=540,Y=103} 12/09/2012 6:56:26 p.m. 529
MOUSE click {X=540,Y=103} 12/09/2012 6:56:26 p.m. 601
MOUSE release {X=540,Y=103} 12/09/2012 6:56:26 p.m. 697
MOUSE click {X=540,Y=103} 12/09/2012 6:56:26 p.m. 785
MOUSE release {X=540,Y=103} 12/09/2012 6:56:26 p.m. 889
MOUSE click {X=540,Y=103} 12/09/2012 6:56:26 p.m. 969
MOUSE release {X=540,Y=103} 12/09/2012 6:56:27 p.m. 65
MOUSE click {X=540,Y=103} 12/09/2012 6:56:27 p.m. 161
MOUSE release {X=540,Y=103} 12/09/2012 6:56:27 p.m. 257
MOUSE click {X=540,Y=103} 12/09/2012 6:56:27 p.m. 345
MOUSE release {X=540,Y=103} 12/09/2012 6:56:27 p.m. 441
MOUSE click {X=660,Y=28} 12/09/2012 6:56:28 p.m. 921
MOUSE release {X=660,Y=28} 12/09/2012 6:56:29 p.m. 41
Focus Lost 12/09/2012 6:56:29 p.m. 65
MOUSE click {X=736,Y=438} 12/09/2012 6:56:30 p.m. 105
MOUSE release {X=736,Y=438} 12/09/2012 6:56:30 p.m. 199
Focus Gained 12/09/2012 6:56:30 p.m. 201
Focus Lost 12/09/2012 6:56:30 p.m. 208
