Focus Gained 13/06/2018 15:57:42 8
KEYPRESS DOWN LControlKey 13/06/2018 15:57:43 894
Focus Lost 13/06/2018 15:57:43 909
ExposeHK Activated 13/06/2018 15:57:43 926
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 377
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 410
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 443
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 476
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 509
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 542
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 576
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 608
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 642
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 674
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 708
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 740
KEYPRESS DOWN LControlKey 13/06/2018 15:57:44 773
Focus Gained 13/06/2018 15:57:44 809
ExposeHK Hidden 13/06/2018 15:57:44 809
KEYPRESS UP LControlKey 13/06/2018 15:57:44 838
KEYPRESS DOWN LControlKey 13/06/2018 15:57:45 62
Focus Lost 13/06/2018 15:57:45 68
ExposeHK Activated 13/06/2018 15:57:45 84
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:45 533
KEYPRESS UP LShiftKey 13/06/2018 15:57:46 24
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:46 246
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:46 746
KEYPRESS UP LShiftKey 13/06/2018 15:57:46 749
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:46 983
KEYPRESS UP LShiftKey 13/06/2018 15:57:47 447
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:47 662
KEYPRESS UP LShiftKey 13/06/2018 15:57:48 32
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:48 286
KEYPRESS UP LShiftKey 13/06/2018 15:57:48 593
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:48 870
KEYPRESS UP LShiftKey 13/06/2018 15:57:49 256
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:49 553
KEYPRESS UP LShiftKey 13/06/2018 15:57:49 912
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:50 135
KEYPRESS UP LShiftKey 13/06/2018 15:57:50 543
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:50 782
KEYPRESS UP LShiftKey 13/06/2018 15:57:50 984
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:51 173
KEYPRESS UP LShiftKey 13/06/2018 15:57:51 317
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:51 453
KEYPRESS UP LShiftKey 13/06/2018 15:57:51 545
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:51 673
KEYPRESS UP LShiftKey 13/06/2018 15:57:51 784
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:51 902
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:52 402
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:52 435
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:52 467
KEYPRESS DOWN LShiftKey 13/06/2018 15:57:52 500
KEYPRESS UP LShiftKey 13/06/2018 15:57:52 510
Focus Gained 13/06/2018 15:57:53 275
ExposeHK Hidden 13/06/2018 15:57:53 276
KEYPRESS UP LControlKey 13/06/2018 15:57:53 296
KEYPRESS DOWN LControlKey 13/06/2018 15:57:53 608
Focus Lost 13/06/2018 15:57:53 616
ExposeHK Activated 13/06/2018 15:57:53 629
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 106
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 139
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 172
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 205
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 237
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 271
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 304
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 339
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 369
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 402
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 438
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 468
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 501
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 535
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 567
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 601
KEYPRESS DOWN LControlKey 13/06/2018 15:57:54 633
