Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
25/07/2018 16:29:47.488;22;none;none;none;0;none;none;none;none;none;none;Focus Gained
25/07/2018 16:29:49.481;2014;none;none;none;0;none;Key;Down;none;none;RShiftKey;none
25/07/2018 16:29:49.654;2187;none;none;none;0;none;Key;Down;none;none;J;none
25/07/2018 16:29:49.711;2244;none;none;none;0;none;Key;Up;none;none;RShiftKey;none
25/07/2018 16:29:49.790;2323;none;none;none;0;none;Key;Up;none;none;J;none
25/07/2018 16:29:50.510;3043;none;none;none;0;none;Key;Down;none;none;E;none
25/07/2018 16:29:50.678;3211;none;none;none;0;none;Key;Up;none;none;E;none
25/07/2018 16:29:50.862;3395;none;none;none;0;none;Key;Down;none;none;R;none
25/07/2018 16:29:50.966;3499;none;none;none;0;none;Key;Up;none;none;R;none
25/07/2018 16:29:51.14;3547;none;none;none;0;none;Key;Down;none;none;O;none
25/07/2018 16:29:51.78;3611;none;none;none;0;none;Key;Up;none;none;O;none
25/07/2018 16:29:51.254;3787;none;none;none;0;none;Key;Down;none;none;M;none
25/07/2018 16:29:51.334;3867;none;none;none;0;none;Key;Up;none;none;M;none
25/07/2018 16:29:51.374;3907;none;none;none;0;none;Key;Down;none;none;E;none
25/07/2018 16:29:51.454;3987;none;none;none;0;none;Key;Up;none;none;E;none
25/07/2018 16:29:52.234;4768;none;none;none;0;none;Mouse;Move;1005;738;none;none
25/07/2018 16:29:52.236;4770;none;none;none;0;none;Mouse;Move;1003;735;none;none
25/07/2018 16:29:52.240;4773;none;none;none;0;none;Mouse;Move;995;723;none;none
25/07/2018 16:29:52.248;4781;none;none;none;0;none;Mouse;Move;983;709;none;none
25/07/2018 16:29:52.256;4789;none;none;none;0;none;Mouse;Move;967;691;none;none
25/07/2018 16:29:52.263;4797;none;none;none;0;none;Mouse;Move;948;672;none;none
25/07/2018 16:29:52.271;4805;none;none;none;0;none;Mouse;Move;929;654;none;none
25/07/2018 16:29:52.279;4813;none;none;none;0;none;Mouse;Move;908;634;none;none
25/07/2018 16:29:52.287;4821;none;none;none;0;none;Mouse;Move;885;614;none;none
25/07/2018 16:29:52.295;4829;none;none;none;0;none;Mouse;Move;862;594;none;none
25/07/2018 16:29:52.303;4837;none;none;none;0;none;Mouse;Move;834;575;none;none
25/07/2018 16:29:52.311;4845;none;none;none;0;none;Mouse;Move;808;556;none;none
25/07/2018 16:29:52.320;4853;none;none;none;0;none;Mouse;Move;780;537;none;none
25/07/2018 16:29:52.328;4861;none;none;none;0;none;Mouse;Move;761;525;none;none
25/07/2018 16:29:52.336;4869;none;none;none;0;none;Mouse;Move;745;517;none;none
25/07/2018 16:29:52.345;4878;none;none;none;0;none;Mouse;Move;734;512;none;none
25/07/2018 16:29:52.352;4885;none;none;none;0;none;Mouse;Move;723;508;none;none
25/07/2018 16:29:52.360;4893;none;none;none;0;none;Mouse;Move;717;507;none;none
25/07/2018 16:29:52.368;4901;none;none;none;0;none;Mouse;Move;713;507;none;none
25/07/2018 16:29:52.376;4909;none;none;none;0;none;Mouse;Move;712;507;none;none
25/07/2018 16:29:52.408;4941;none;none;none;0;none;Mouse;Move;712;507;none;none
25/07/2018 16:29:52.416;4949;none;none;none;0;none;Mouse;Move;712;507;none;none
25/07/2018 16:29:52.424;4957;none;none;none;0;none;Mouse;Move;713;507;none;none
25/07/2018 16:29:52.432;4965;none;none;none;0;none;Mouse;Move;714;507;none;none
25/07/2018 16:29:52.440;4973;none;none;none;0;none;Mouse;Move;716;507;none;none
25/07/2018 16:29:52.448;4981;none;none;none;0;none;Mouse;Move;718;507;none;none
25/07/2018 16:29:52.456;4989;none;none;none;0;none;Mouse;Move;722;507;none;none
25/07/2018 16:29:52.463;4997;none;none;none;0;none;Mouse;Move;726;507;none;none
25/07/2018 16:29:52.471;5005;none;none;none;0;none;Mouse;Move;731;507;none;none
25/07/2018 16:29:52.479;5013;none;none;none;0;none;Mouse;Move;738;509;none;none
25/07/2018 16:29:52.487;5021;none;none;none;0;none;Mouse;Move;748;511;none;none
25/07/2018 16:29:52.496;5029;none;none;none;0;none;Mouse;Move;759;517;none;none
25/07/2018 16:29:52.504;5037;none;none;none;0;none;Mouse;Move;769;521;none;none
25/07/2018 16:29:52.512;5045;none;none;none;0;none;Mouse;Move;787;528;none;none
25/07/2018 16:29:52.520;5053;none;none;none;0;none;Mouse;Move;799;534;none;none
25/07/2018 16:29:52.528;5061;none;none;none;0;none;Mouse;Move;814;545;none;none
25/07/2018 16:29:52.536;5069;none;none;none;0;none;Mouse;Move;826;553;none;none
25/07/2018 16:29:52.544;5077;none;none;none;0;none;Mouse;Move;838;565;none;none
25/07/2018 16:29:52.552;5085;none;none;none;0;none;Mouse;Move;847;573;none;none
25/07/2018 16:29:52.560;5093;none;none;none;0;none;Mouse;Move;857;581;none;none
25/07/2018 16:29:52.568;5101;none;none;none;0;none;Mouse;Move;865;589;none;none
25/07/2018 16:29:52.576;5109;none;none;none;0;none;Mouse;Move;873;596;none;none
25/07/2018 16:29:52.584;5117;none;none;none;0;none;Mouse;Move;878;601;none;none
25/07/2018 16:29:52.592;5125;none;none;none;0;none;Mouse;Move;884;608;none;none
25/07/2018 16:29:52.600;5133;none;none;none;0;none;Mouse;Move;888;613;none;none
25/07/2018 16:29:52.609;5142;none;none;none;0;none;Mouse;Move;892;619;none;none
25/07/2018 16:29:52.618;5152;none;none;none;0;none;Mouse;Move;895;622;none;none
25/07/2018 16:29:52.624;5157;none;none;none;0;none;Mouse;Move;897;626;none;none
25/07/2018 16:29:52.632;5166;none;none;none;0;none;Mouse;Move;899;628;none;none
25/07/2018 16:29:52.640;5173;none;none;none;0;none;Mouse;Move;900;630;none;none
25/07/2018 16:29:52.647;5181;none;none;none;0;none;Mouse;Move;900;631;none;none
25/07/2018 16:29:52.655;5189;none;none;none;0;none;Mouse;Move;900;632;none;none
25/07/2018 16:29:52.663;5197;none;none;none;0;none;Mouse;Move;900;632;none;none
25/07/2018 16:29:52.671;5205;none;none;none;0;none;Mouse;Move;900;633;none;none
25/07/2018 16:29:52.679;5213;none;none;none;0;none;Mouse;Move;900;633;none;none
25/07/2018 16:29:52.687;5221;none;none;none;0;none;Mouse;Move;900;634;none;none
25/07/2018 16:29:52.696;5229;none;none;none;0;none;Mouse;Move;900;635;none;none
25/07/2018 16:29:52.703;5237;none;none;none;0;none;Mouse;Move;900;637;none;none
25/07/2018 16:29:52.711;5245;none;none;none;0;none;Mouse;Move;900;638;none;none
25/07/2018 16:29:52.719;5253;none;none;none;0;none;Mouse;Move;900;640;none;none
25/07/2018 16:29:52.727;5261;none;none;none;0;none;Mouse;Move;901;642;none;none
25/07/2018 16:29:52.736;5269;none;none;none;0;none;Mouse;Move;901;644;none;none
25/07/2018 16:29:52.744;5277;none;none;none;0;none;Mouse;Move;901;645;none;none
25/07/2018 16:29:52.752;5285;none;none;none;0;none;Mouse;Move;901;646;none;none
25/07/2018 16:29:52.760;5293;none;none;none;0;none;Mouse;Move;901;648;none;none
25/07/2018 16:29:52.768;5301;none;none;none;0;none;Mouse;Move;901;651;none;none
25/07/2018 16:29:52.776;5309;none;none;none;0;none;Mouse;Move;901;653;none;none
25/07/2018 16:29:52.784;5317;none;none;none;0;none;Mouse;Move;901;655;none;none
25/07/2018 16:29:52.792;5325;none;none;none;0;none;Mouse;Move;901;657;none;none
25/07/2018 16:29:52.800;5333;none;none;none;0;none;Mouse;Move;901;660;none;none
25/07/2018 16:29:52.808;5341;none;none;none;0;none;Mouse;Move;901;661;none;none
25/07/2018 16:29:52.816;5349;none;none;none;0;none;Mouse;Move;901;662;none;none
25/07/2018 16:29:52.824;5357;none;none;none;0;none;Mouse;Move;901;662;none;none
25/07/2018 16:29:52.832;5365;none;none;none;0;none;Mouse;Move;901;663;none;none
25/07/2018 16:29:52.841;5374;none;none;none;0;none;Mouse;Move;901;664;none;none
25/07/2018 16:29:52.887;5421;none;none;none;0;none;Mouse;Move;901;665;none;none
25/07/2018 16:29:52.895;5429;none;none;none;0;none;Mouse;Move;901;665;none;none
25/07/2018 16:29:52.903;5437;none;none;none;0;none;Mouse;Move;901;666;none;none
25/07/2018 16:29:52.911;5445;none;none;none;0;none;Mouse;Move;901;666;none;none
25/07/2018 16:29:52.920;5453;none;none;none;0;none;Mouse;Move;901;666;none;none
25/07/2018 16:29:52.929;5462;none;none;none;0;none;Mouse;Move;901;668;none;none
25/07/2018 16:29:52.936;5469;none;none;none;0;none;Mouse;Move;901;668;none;none
25/07/2018 16:29:52.944;5477;none;none;none;0;none;Mouse;Move;901;668;none;none
25/07/2018 16:29:52.952;5485;none;none;none;0;none;Mouse;Move;901;669;none;none
25/07/2018 16:29:52.960;5493;none;none;none;0;none;Mouse;Move;901;669;none;none
25/07/2018 16:29:52.968;5501;none;none;none;0;none;Mouse;Move;901;670;none;none
25/07/2018 16:29:52.976;5509;none;none;none;0;none;Mouse;Move;901;670;none;none
25/07/2018 16:29:53.71;5605;none;none;none;0;none;Mouse;Click;901;670;none;none
25/07/2018 16:29:53.72;5605;none;none;none;0;none;Mouse;Move;901;670;none;none
25/07/2018 16:29:53.79;5613;none;none;none;0;none;Mouse;Move;902;670;none;none
25/07/2018 16:29:53.208;5741;none;none;none;0;none;Mouse;Release;902;670;none;none
25/07/2018 16:29:53.209;5742;none;none;none;0;none;Mouse;Move;902;670;none;none
25/07/2018 16:29:53.213;5747;none;none;none;0;none;none;none;none;none;none;Click radioButton8
25/07/2018 16:29:53.487;6021;none;none;none;0;none;Mouse;Move;902;670;none;none
25/07/2018 16:29:53.495;6029;none;none;none;0;none;Mouse;Move;902;670;none;none
25/07/2018 16:29:53.503;6037;none;none;none;0;none;Mouse;Move;900;671;none;none
25/07/2018 16:29:53.511;6045;none;none;none;0;none;Mouse;Move;896;671;none;none
25/07/2018 16:29:53.520;6053;none;none;none;0;none;Mouse;Move;886;671;none;none
25/07/2018 16:29:53.528;6061;none;none;none;0;none;Mouse;Move;875;671;none;none
25/07/2018 16:29:53.536;6069;none;none;none;0;none;Mouse;Move;862;671;none;none
25/07/2018 16:29:53.544;6077;none;none;none;0;none;Mouse;Move;842;668;none;none
25/07/2018 16:29:53.552;6085;none;none;none;0;none;Mouse;Move;821;664;none;none
25/07/2018 16:29:53.560;6093;none;none;none;0;none;Mouse;Move;796;660;none;none
25/07/2018 16:29:53.568;6101;none;none;none;0;none;Mouse;Move;767;655;none;none
25/07/2018 16:29:53.576;6109;none;none;none;0;none;Mouse;Move;737;648;none;none
25/07/2018 16:29:53.584;6118;none;none;none;0;none;Mouse;Move;707;643;none;none
25/07/2018 16:29:53.592;6125;none;none;none;0;none;Mouse;Move;679;635;none;none
25/07/2018 16:29:53.600;6133;none;none;none;0;none;Mouse;Move;647;628;none;none
25/07/2018 16:29:53.608;6141;none;none;none;0;none;Mouse;Move;628;625;none;none
25/07/2018 16:29:53.618;6152;none;none;none;0;none;Mouse;Move;610;623;none;none
25/07/2018 16:29:53.624;6157;none;none;none;0;none;Mouse;Move;592;620;none;none
25/07/2018 16:29:53.632;6165;none;none;none;0;none;Mouse;Move;575;616;none;none
25/07/2018 16:29:53.640;6173;none;none;none;0;none;Mouse;Move;561;614;none;none
25/07/2018 16:29:53.648;6181;none;none;none;0;none;Mouse;Move;550;612;none;none
25/07/2018 16:29:53.656;6189;none;none;none;0;none;Mouse;Move;543;611;none;none
25/07/2018 16:29:53.664;6197;none;none;none;0;none;Mouse;Move;538;610;none;none
25/07/2018 16:29:53.671;6205;none;none;none;0;none;Mouse;Move;535;610;none;none
25/07/2018 16:29:53.679;6213;none;none;none;0;none;Mouse;Move;532;610;none;none
25/07/2018 16:29:53.687;6221;none;none;none;0;none;Mouse;Move;532;610;none;none
25/07/2018 16:29:53.711;6245;none;none;none;0;none;Mouse;Move;532;610;none;none
