Focus Gained 4/10/2012 10:34:39 p.m. 218
MOUSE Move {X=516,Y=306} 4/10/2012 10:34:39 p.m. 269
MOUSE Move {X=520,Y=306} 4/10/2012 10:34:39 p.m. 275
MOUSE Move {X=523,Y=306} 4/10/2012 10:34:39 p.m. 280
MOUSE Move {X=526,Y=306} 4/10/2012 10:34:39 p.m. 286
MOUSE Move {X=527,Y=306} 4/10/2012 10:34:39 p.m. 301
MOUSE Move {X=516,Y=304} 4/10/2012 10:34:48 p.m. 975
MOUSE Move {X=504,Y=298} 4/10/2012 10:34:48 p.m. 990
MOUSE Move {X=493,Y=294} 4/10/2012 10:34:48 p.m. 993
MOUSE Move {X=478,Y=292} 4/10/2012 10:34:48 p.m. 997
MOUSE Move {X=464,Y=288} 4/10/2012 10:34:49 p.m. 5
MOUSE Move {X=452,Y=282} 4/10/2012 10:34:49 p.m. 13
MOUSE Move {X=438,Y=278} 4/10/2012 10:34:49 p.m. 20
MOUSE Move {X=428,Y=270} 4/10/2012 10:34:49 p.m. 28
MOUSE Move {X=421,Y=264} 4/10/2012 10:34:49 p.m. 36
MOUSE Move {X=415,Y=257} 4/10/2012 10:34:49 p.m. 44
MOUSE Move {X=411,Y=253} 4/10/2012 10:34:49 p.m. 53
MOUSE Move {X=408,Y=248} 4/10/2012 10:34:49 p.m. 61
MOUSE Move {X=403,Y=243} 4/10/2012 10:34:49 p.m. 69
MOUSE Move {X=395,Y=236} 4/10/2012 10:34:49 p.m. 75
MOUSE Move {X=386,Y=230} 4/10/2012 10:34:49 p.m. 84
MOUSE Move {X=373,Y=222} 4/10/2012 10:34:49 p.m. 92
MOUSE Move {X=361,Y=211} 4/10/2012 10:34:49 p.m. 100
MOUSE Move {X=349,Y=203} 4/10/2012 10:34:49 p.m. 109
MOUSE Move {X=336,Y=190} 4/10/2012 10:34:49 p.m. 117
MOUSE Move {X=328,Y=181} 4/10/2012 10:34:49 p.m. 125
MOUSE Move {X=325,Y=174} 4/10/2012 10:34:49 p.m. 133
MOUSE Move {X=322,Y=169} 4/10/2012 10:34:49 p.m. 140
MOUSE Move {X=320,Y=165} 4/10/2012 10:34:49 p.m. 148
MOUSE Move {X=319,Y=162} 4/10/2012 10:34:49 p.m. 156
MOUSE Move {X=318,Y=161} 4/10/2012 10:34:49 p.m. 164
MOUSE Move {X=316,Y=160} 4/10/2012 10:34:49 p.m. 173
MOUSE Move {X=314,Y=158} 4/10/2012 10:34:49 p.m. 181
MOUSE Move {X=313,Y=157} 4/10/2012 10:34:49 p.m. 189
MOUSE Move {X=309,Y=156} 4/10/2012 10:34:49 p.m. 197
MOUSE Move {X=304,Y=154} 4/10/2012 10:34:49 p.m. 204
MOUSE Move {X=300,Y=153} 4/10/2012 10:34:49 p.m. 212
MOUSE Move {X=297,Y=151} 4/10/2012 10:34:49 p.m. 221
MOUSE Move {X=294,Y=151} 4/10/2012 10:34:49 p.m. 229
MOUSE Move {X=294,Y=149} 4/10/2012 10:34:49 p.m. 278
MOUSE Move {X=293,Y=148} 4/10/2012 10:34:49 p.m. 285
MOUSE Move {X=292,Y=147} 4/10/2012 10:34:49 p.m. 293
MOUSE Move {X=292,Y=149} 4/10/2012 10:34:49 p.m. 341
MOUSE Move {X=292,Y=154} 4/10/2012 10:34:49 p.m. 348
MOUSE Move {X=292,Y=156} 4/10/2012 10:34:49 p.m. 356
MOUSE Move {X=292,Y=159} 4/10/2012 10:34:49 p.m. 364
MOUSE Move {X=292,Y=160} 4/10/2012 10:34:49 p.m. 389
MOUSE Move {X=292,Y=161} 4/10/2012 10:34:49 p.m. 438
MOUSE Move {X=292,Y=163} 4/10/2012 10:34:49 p.m. 646
MOUSE click {X=292,Y=163} 4/10/2012 10:34:49 p.m. 649
MOUSE Move {X=292,Y=163} 4/10/2012 10:34:49 p.m. 651
MOUSE Move {X=288,Y=163} 4/10/2012 10:34:49 p.m. 718
MOUSE Move {X=279,Y=163} 4/10/2012 10:34:49 p.m. 725
MOUSE Move {X=268,Y=163} 4/10/2012 10:34:49 p.m. 733
MOUSE Move {X=255,Y=163} 4/10/2012 10:34:49 p.m. 740
MOUSE Move {X=236,Y=163} 4/10/2012 10:34:49 p.m. 748
MOUSE Move {X=216,Y=165} 4/10/2012 10:34:49 p.m. 756
MOUSE Move {X=197,Y=165} 4/10/2012 10:34:49 p.m. 764
MOUSE Move {X=175,Y=165} 4/10/2012 10:34:49 p.m. 781
MOUSE Move {X=153,Y=164} 4/10/2012 10:34:49 p.m. 784
MOUSE Move {X=137,Y=161} 4/10/2012 10:34:49 p.m. 789
Text Selection MOUSE New Zealanders so passive?
 4/10/2012 10:34:49 p.m. 799
MOUSE Move {X=123,Y=161} 4/10/2012 10:34:49 p.m. 800
MOUSE Move {X=114,Y=160} 4/10/2012 10:34:49 p.m. 803
MOUSE Move {X=109,Y=158} 4/10/2012 10:34:49 p.m. 811
Text Selection MOUSE are New Zealanders so passive?
 4/10/2012 10:34:49 p.m. 820
MOUSE Move {X=105,Y=158} 4/10/2012 10:34:49 p.m. 821
MOUSE Move {X=102,Y=157} 4/10/2012 10:34:49 p.m. 828
MOUSE Move {X=98,Y=155} 4/10/2012 10:34:49 p.m. 844
MOUSE Move {X=95,Y=155} 4/10/2012 10:34:49 p.m. 852
MOUSE Move {X=92,Y=154} 4/10/2012 10:34:49 p.m. 861
MOUSE Move {X=88,Y=154} 4/10/2012 10:34:49 p.m. 869
Text Selection MOUSE Why are New Zealanders so passive?
 4/10/2012 10:34:49 p.m. 886
MOUSE Move {X=80,Y=154} 4/10/2012 10:34:49 p.m. 887
MOUSE Move {X=74,Y=154} 4/10/2012 10:34:49 p.m. 888
MOUSE Move {X=67,Y=154} 4/10/2012 10:34:49 p.m. 892
MOUSE Move {X=61,Y=156} 4/10/2012 10:34:49 p.m. 899
MOUSE Move {X=57,Y=156} 4/10/2012 10:34:49 p.m. 908
MOUSE Move {X=52,Y=156} 4/10/2012 10:34:49 p.m. 917
MOUSE Move {X=50,Y=156} 4/10/2012 10:34:49 p.m. 925
MOUSE release {X=50,Y=156} 4/10/2012 10:34:50 p.m. 276
MOUSE Move {X=50,Y=156} 4/10/2012 10:34:50 p.m. 277
KEYPRESS DOWN RControlKey 4/10/2012 10:34:50 p.m. 961
ExposeHK Activated 4/10/2012 10:34:50 p.m. 978
KEYPRESS DOWN B 4/10/2012 10:34:51 p.m. 215
COMMAND btnBold HOTKEY B SelText:Why are New Zealanders so passive?
 MOUSE  4/10/2012 10:34:51 p.m. 223
KEYPRESS UP B 4/10/2012 10:34:51 p.m. 294
KEYPRESS DOWN E 4/10/2012 10:34:52 p.m. 447
COMMAND btnAlignCenter HOTKEY E SelText:Why are New Zealanders so passive?
 MOUSE  4/10/2012 10:34:52 p.m. 467
KEYPRESS UP E 4/10/2012 10:34:52 p.m. 543
ExposeHK Hidden 4/10/2012 10:34:53 p.m. 455
KEYPRESS UP RControlKey 4/10/2012 10:34:53 p.m. 492
MOUSE Move {X=52,Y=159} 4/10/2012 10:34:54 p.m. 509
MOUSE Move {X=64,Y=159} 4/10/2012 10:34:54 p.m. 512
MOUSE Move {X=86,Y=163} 4/10/2012 10:34:54 p.m. 517
MOUSE Move {X=114,Y=166} 4/10/2012 10:34:54 p.m. 525
MOUSE Move {X=141,Y=170} 4/10/2012 10:34:54 p.m. 532
MOUSE Move {X=171,Y=173} 4/10/2012 10:34:54 p.m. 541
MOUSE Move {X=199,Y=179} 4/10/2012 10:34:54 p.m. 548
MOUSE Move {X=226,Y=186} 4/10/2012 10:34:54 p.m. 556
MOUSE Move {X=243,Y=191} 4/10/2012 10:34:54 p.m. 564
MOUSE Move {X=253,Y=194} 4/10/2012 10:34:54 p.m. 573
MOUSE Move {X=255,Y=194} 4/10/2012 10:34:54 p.m. 580
MOUSE Move {X=256,Y=194} 4/10/2012 10:34:54 p.m. 588
MOUSE Move {X=259,Y=194} 4/10/2012 10:34:54 p.m. 605
MOUSE Move {X=263,Y=194} 4/10/2012 10:34:54 p.m. 612
MOUSE Move {X=269,Y=194} 4/10/2012 10:34:54 p.m. 620
MOUSE Move {X=275,Y=194} 4/10/2012 10:34:54 p.m. 628
MOUSE Move {X=282,Y=194} 4/10/2012 10:34:54 p.m. 637
MOUSE Move {X=286,Y=194} 4/10/2012 10:34:54 p.m. 644
MOUSE Move {X=290,Y=196} 4/10/2012 10:34:54 p.m. 652
MOUSE Move {X=295,Y=197} 4/10/2012 10:34:54 p.m. 661
MOUSE Move {X=299,Y=199} 4/10/2012 10:34:54 p.m. 668
MOUSE Move {X=304,Y=200} 4/10/2012 10:34:54 p.m. 677
MOUSE Move {X=307,Y=202} 4/10/2012 10:34:54 p.m. 684
MOUSE Move {X=310,Y=203} 4/10/2012 10:34:54 p.m. 691
MOUSE Move {X=312,Y=203} 4/10/2012 10:34:54 p.m. 708
MOUSE Move {X=312,Y=204} 4/10/2012 10:34:54 p.m. 717
MOUSE Move {X=316,Y=206} 4/10/2012 10:34:54 p.m. 733
MOUSE Move {X=319,Y=206} 4/10/2012 10:34:54 p.m. 741
MOUSE Move {X=323,Y=207} 4/10/2012 10:34:54 p.m. 747
MOUSE Move {X=330,Y=209} 4/10/2012 10:34:54 p.m. 755
MOUSE Move {X=334,Y=212} 4/10/2012 10:34:54 p.m. 764
MOUSE Move {X=340,Y=213} 4/10/2012 10:34:54 p.m. 771
MOUSE Move {X=343,Y=213} 4/10/2012 10:34:54 p.m. 783
MOUSE Move {X=344,Y=213} 4/10/2012 10:34:54 p.m. 791
MOUSE click {X=344,Y=213} 4/10/2012 10:34:54 p.m. 836
MOUSE Move {X=344,Y=213} 4/10/2012 10:34:54 p.m. 836
MOUSE release {X=344,Y=213} 4/10/2012 10:34:54 p.m. 924
MOUSE Move {X=344,Y=213} 4/10/2012 10:34:54 p.m. 925
MOUSE Move {X=344,Y=216} 4/10/2012 10:34:55 p.m. 110
MOUSE Move {X=346,Y=220} 4/10/2012 10:34:55 p.m. 117
MOUSE Move {X=346,Y=228} 4/10/2012 10:34:55 p.m. 125
MOUSE Move {X=347,Y=233} 4/10/2012 10:34:55 p.m. 132
MOUSE Move {X=347,Y=236} 4/10/2012 10:34:55 p.m. 141
MOUSE Move {X=347,Y=240} 4/10/2012 10:34:55 p.m. 148
MOUSE Move {X=347,Y=244} 4/10/2012 10:34:55 p.m. 156
MOUSE Move {X=348,Y=245} 4/10/2012 10:34:55 p.m. 318
MOUSE Move {X=344,Y=245} 4/10/2012 10:34:55 p.m. 421
MOUSE Move {X=339,Y=242} 4/10/2012 10:34:55 p.m. 437
MOUSE Move {X=338,Y=241} 4/10/2012 10:34:55 p.m. 445
MOUSE Move {X=336,Y=240} 4/10/2012 10:34:55 p.m. 452
MOUSE Move {X=333,Y=237} 4/10/2012 10:34:55 p.m. 460
MOUSE Move {X=330,Y=235} 4/10/2012 10:34:55 p.m. 468
MOUSE Move {X=327,Y=232} 4/10/2012 10:34:55 p.m. 476
MOUSE Move {X=322,Y=231} 4/10/2012 10:34:55 p.m. 485
MOUSE Move {X=319,Y=228} 4/10/2012 10:34:55 p.m. 492
MOUSE Move {X=315,Y=226} 4/10/2012 10:34:55 p.m. 500
MOUSE Move {X=312,Y=225} 4/10/2012 10:34:55 p.m. 509
MOUSE Move {X=308,Y=224} 4/10/2012 10:34:55 p.m. 516
MOUSE Move {X=305,Y=222} 4/10/2012 10:34:55 p.m. 524
MOUSE Move {X=301,Y=222} 4/10/2012 10:34:55 p.m. 533
MOUSE Move {X=299,Y=221} 4/10/2012 10:34:55 p.m. 541
MOUSE Move {X=298,Y=221} 4/10/2012 10:34:55 p.m. 548
MOUSE Move {X=297,Y=220} 4/10/2012 10:34:55 p.m. 555
MOUSE Move {X=296,Y=220} 4/10/2012 10:34:55 p.m. 571
MOUSE Move {X=295,Y=220} 4/10/2012 10:34:55 p.m. 589
MOUSE Move {X=295,Y=219} 4/10/2012 10:34:55 p.m. 596
MOUSE Move {X=294,Y=217} 4/10/2012 10:34:55 p.m. 621
MOUSE Move {X=292,Y=217} 4/10/2012 10:34:55 p.m. 629
MOUSE Move {X=290,Y=215} 4/10/2012 10:34:55 p.m. 677
MOUSE Move {X=285,Y=213} 4/10/2012 10:34:55 p.m. 685
MOUSE Move {X=281,Y=210} 4/10/2012 10:34:55 p.m. 693
MOUSE Move {X=276,Y=209} 4/10/2012 10:34:55 p.m. 701
MOUSE Move {X=270,Y=209} 4/10/2012 10:34:55 p.m. 707
MOUSE Move {X=266,Y=207} 4/10/2012 10:34:55 p.m. 715
MOUSE Move {X=259,Y=206} 4/10/2012 10:34:55 p.m. 723
MOUSE Move {X=253,Y=206} 4/10/2012 10:34:55 p.m. 731
MOUSE Move {X=249,Y=204} 4/10/2012 10:34:55 p.m. 741
MOUSE Move {X=246,Y=204} 4/10/2012 10:34:55 p.m. 748
MOUSE Move {X=243,Y=204} 4/10/2012 10:34:55 p.m. 756
