Focus Gained 08/06/2018 14:04:56 299
MOUSE Move {X=1311,Y=50} 08/06/2018 14:04:59 100
MOUSE Move {X=1311,Y=51} 08/06/2018 14:04:59 112
MOUSE click {X=1311,Y=51} 08/06/2018 14:04:59 118
MOUSE Move {X=1311,Y=51} 08/06/2018 14:04:59 125
MOUSE Move {X=1311,Y=51} 08/06/2018 14:04:59 130
MOUSE Move {X=1311,Y=52} 08/06/2018 14:04:59 137
MOUSE Move {X=1311,Y=52} 08/06/2018 14:04:59 189
MOUSE Move {X=1313,Y=51} 08/06/2018 14:04:59 202
MOUSE release {X=1313,Y=51} 08/06/2018 14:04:59 207
MOUSE Move {X=1313,Y=51} 08/06/2018 14:04:59 215
Focus Lost 08/06/2018 14:04:59 255
